gene1,gene2,lrt
ENSMUSG00000009378,ENSMUSG00000024766,8.982999049120963
ENSMUSG00000040565,ENSMUSG00000024766,21.35171301162802
ENSMUSG00000041731,ENSMUSG00000024766,39.977353256012975
ENSMUSG00000044026,ENSMUSG00000024766,57.60345126000402
ENSMUSG00000046138,ENSMUSG00000024766,16.542629468704945
ENSMUSG00000046324,ENSMUSG00000024766,31.936918995603037
ENSMUSG00000047298,ENSMUSG00000024766,35.02164743067999
ENSMUSG00000048120,ENSMUSG00000024766,41.63968155057603
ENSMUSG00000048612,ENSMUSG00000024766,52.02035520912807
ENSMUSG00000049670,ENSMUSG00000024766,39.94611149852392
ENSMUSG00000050370,ENSMUSG00000024766,3.138273617495088
ENSMUSG00000024771,ENSMUSG00000024766,1.6246081353050386
ENSMUSG00000050957,ENSMUSG00000024766,35.390034055968954
ENSMUSG00000052085,ENSMUSG00000024766,80.55804223871701
ENSMUSG00000052595,ENSMUSG00000024766,13.147591038812038
ENSMUSG00000054178,ENSMUSG00000024766,45.77759814557703
ENSMUSG00000054237,ENSMUSG00000024766,37.62468494790096
ENSMUSG00000055044,ENSMUSG00000024766,31.421625077427052
ENSMUSG00000056078,ENSMUSG00000024766,8.186487176129049
ENSMUSG00000059363,ENSMUSG00000024766,21.751679647885
ENSMUSG00000061132,ENSMUSG00000024766,85.48909392239409
ENSMUSG00000064202,ENSMUSG00000024766,18.70006840059409
ENSMUSG00000024774,ENSMUSG00000024766,1.828651232016
ENSMUSG00000067242,ENSMUSG00000024766,55.752875594989064
ENSMUSG00000067279,ENSMUSG00000024766,25.09891774760399
ENSMUSG00000071573,ENSMUSG00000024766,0.7669717633970095
ENSMUSG00000074896,ENSMUSG00000024766,2.2923864707140638
ENSMUSG00000074922,ENSMUSG00000024766,22.244038837068956
ENSMUSG00000079339,ENSMUSG00000024766,2.628235216039002
ENSMUSG00000079344,ENSMUSG00000024766,0.35751239615194663
ENSMUSG00000085003,ENSMUSG00000024766,39.45603741266302
ENSMUSG00000086812,ENSMUSG00000024766,0.49785828992196457
ENSMUSG00000087112,ENSMUSG00000024766,0
ENSMUSG00000024776,ENSMUSG00000024766,4.552270054667019
ENSMUSG00000087303,ENSMUSG00000024766,3.0729860940000435
ENSMUSG00000087579,ENSMUSG00000024766,22.140266948781004
ENSMUSG00000089952,ENSMUSG00000024766,74.24782008981799
ENSMUSG00000090369,ENSMUSG00000024766,22.23995550967902
ENSMUSG00000090673,ENSMUSG00000024766,23.078339345134054
ENSMUSG00000094707,ENSMUSG00000024766,18.863892391994
ENSMUSG00000097558,ENSMUSG00000024766,5.389414130946989
ENSMUSG00000097787,ENSMUSG00000024766,11.903608022602953
ENSMUSG00000097792,ENSMUSG00000024766,69.86476656058596
ENSMUSG00000097930,ENSMUSG00000024766,59.67336576818104
ENSMUSG00000024778,ENSMUSG00000024766,0.7309075129179519
ENSMUSG00000024780,ENSMUSG00000024766,42.74342423038297
ENSMUSG00000012443,ENSMUSG00000024766,6.8098345921180226
ENSMUSG00000024781,ENSMUSG00000024766,4.4755654081819785
ENSMUSG00000024782,ENSMUSG00000024766,24.81237385381894
ENSMUSG00000024805,ENSMUSG00000024766,12.433447609466043
ENSMUSG00000024817,ENSMUSG00000024766,56.627685226019935
ENSMUSG00000024827,ENSMUSG00000024766,39.19942781846703
ENSMUSG00000024863,ENSMUSG00000024766,69.23623039835093
ENSMUSG00000024867,ENSMUSG00000024766,39.67432268238099
ENSMUSG00000024878,ENSMUSG00000024766,53.324176818267006
ENSMUSG00000024887,ENSMUSG00000024766,38.36652972321792
ENSMUSG00000024921,ENSMUSG00000024766,34.259112448893006
ENSMUSG00000013663,ENSMUSG00000024766,5.047609381507073
ENSMUSG00000024935,ENSMUSG00000024766,19.49023898577991
ENSMUSG00000024987,ENSMUSG00000024766,15.492623538570001
ENSMUSG00000024992,ENSMUSG00000024766,13.752644612110998
ENSMUSG00000024998,ENSMUSG00000024766,24.692852601493996
ENSMUSG00000024999,ENSMUSG00000024766,22.967554315953976
ENSMUSG00000025006,ENSMUSG00000024766,80.39146039907803
ENSMUSG00000025008,ENSMUSG00000024766,101.53766714818607
ENSMUSG00000025010,ENSMUSG00000024766,18.026693665328935
ENSMUSG00000025020,ENSMUSG00000024766,32.64603094164693
ENSMUSG00000025159,ENSMUSG00000024766,59.74598168841396
ENSMUSG00000016495,ENSMUSG00000024766,34.717592908550046
ENSMUSG00000025171,ENSMUSG00000024766,20.244073295259
ENSMUSG00000025176,ENSMUSG00000024766,71.17345693097309
ENSMUSG00000033207,ENSMUSG00000024766,17.46454641919604
ENSMUSG00000033610,ENSMUSG00000024766,6.62396570495298
ENSMUSG00000033863,ENSMUSG00000024766,15.903809029024956
ENSMUSG00000034321,ENSMUSG00000024766,41.457135495226
ENSMUSG00000035049,ENSMUSG00000024766,32.35325058103899
ENSMUSG00000038658,ENSMUSG00000024766,89.734746218424
ENSMUSG00000040105,ENSMUSG00000024766,55.16516656447095
ENSMUSG00000040451,ENSMUSG00000024766,23.03637572737
