marker1 marker2 loglik
1 19_18147123 19_36149612 -940.097970933044
2 19_18147270 19_36149612 -940.190084030167
3 19_18147416 19_36149612 -940.285484515658
4 19_18170066 19_36149612 -940.383668812687
5 19_18210494 19_36149612 -940.423711033952
6 19_18211151 19_36149612 -940.466222034121
7 19_18211808 19_36149612 -940.512160809989
8 19_18224115 19_36149612 -940.655029587156
9 19_18226843 19_36149612 -940.83150455888
10 19_18229572 19_36149612 -941.19441854595
11 19_18232300 19_36149612 -941.548983909883
12 19_18235779 19_36149612 -941.886403166254
13 19_18244123 19_36149612 -941.860282369347
14 19_18252467 19_36149612 -941.816483645521
15 19_18275473 19_36149612 -941.831901061405
16 19_18288997 19_36149612 -941.813036991897
17 19_18302521 19_36149612 -941.83834397796
18 19_18316045 19_36149612 -941.804497304756
19 19_18333753 19_36149612 -941.609389259914
20 19_18357444 19_36149612 -941.379856884538
21 19_18363542 19_36149612 -941.150807581495
22 19_18369640 19_36149612 -940.929927148456
23 19_18375737 19_36149612 -940.368435785464
24 19_18381835 19_36149612 -939.921274753392
25 19_18387932 19_36149612 -939.442148676494
26 19_18660511 19_36149612 -939.412857365985
27 19_18668463 19_36149612 -939.499678846988
28 19_18676416 19_36149612 -939.883639829775
29 19_18975648 19_36149612 -942.860977106679
30 19_19274879 19_36149612 -942.838956398905
31 19_19305304 19_36149612 -942.84066618818
32 19_19335729 19_36149612 -942.814760097959
33 19_19461226 19_36149612 -942.649779841329
34 19_19464083 19_36149612 -942.454305438172
35 19_19466941 19_36149612 -942.250954123186
36 19_19537824 19_36149612 -942.040598608838
37 19_19548156 19_36149612 -941.824176778896
38 19_19558489 19_36149612 -941.602674783505
39 19_19870145 19_36149612 -941.612474027354
40 19_19874630 19_36149612 -941.579991932237
41 19_19879115 19_36149612 -941.544459316705
42 19_20125475 19_36149612 -941.515952602826
43 19_20137919 19_36149612 -941.491777618484
44 19_20150362 19_36149612 -941.469535533641
45 19_20302600 19_36149612 -941.45006602018
46 19_20303683 19_36149612 -941.427736897374
47 19_20304765 19_36149612 -941.42293244598
48 19_20626923 19_36149612 -941.556638831788
49 19_20633442 19_36149612 -941.663246972507
50 19_20639961 19_36149612 -941.720300261697
51 19_20756178 19_36149612 -941.738561148685
52 19_20775432 19_36149612 -941.739721131787
53 19_20794687 19_36149612 -941.66005986166
54 19_20796932 19_36149612 -941.59273337379
55 19_20798905 19_36149612 -941.53890675117
56 19_20801032 19_36149612 -941.499373157246
57 19_20803231 19_36149612 -941.474517283269
58 19_20805430 19_36149612 -941.464322229788
59 19_20807629 19_36149612 -941.468385709267
60 19_20902553 19_36149612 -940.923255076882
61 19_20998510 19_36149612 -940.881079174849
62 19_21094467 19_36149612 -940.401401537207
63 19_21182134 19_36149612 -940.322821999042
64 19_21270329 19_36149612 -940.345908845551
65 19_21326896 19_36149612 -940.317267451087
66 19_21332327 19_36149612 -940.349967370146
67 19_21336729 19_36149612 -940.380250330463
68 19_21341131 19_36149612 -940.407684428516
69 19_21345533 19_36149612 -940.431919270377
70 19_21349935 19_36149612 -940.452695206685
71 19_21356079 19_36149612 -940.530652276258
72 19_21515834 19_36149612 -940.598618956339
73 19_21518274 19_36149612 -940.723127349736
74 19_21520713 19_36149612 -940.858708916522
75 19_21523152 19_36149612 -940.864460857575
76 19_21533417 19_36149612 -940.869792876558
77 19_21545048 19_36149612 -940.85582820388
78 19_21727395 19_36149612 -940.855519816539
79 19_21740049 19_36149612 -940.869399381031
80 19_21752704 19_36149612 -940.882729535475
81 19_21835817 19_36149612 -940.791941902267
82 19_21840919 19_36149612 -940.684569571222
83 19_21846022 19_36149612 -940.614861515053
84 19_21936950 19_36149612 -940.516635657848
85 19_21970456 19_36149612 -940.219878860011
86 19_22003963 19_36149612 -939.918029213846
87 19_22156073 19_36149612 -939.842679134693
88 19_22172322 19_36149612 -939.911936869531
89 19_22187306 19_36149612 -939.9948825873
90 19_22191696 19_36149612 -940.093483052687
91 19_22195207 19_36149612 -940.193758012032
92 19_22198718 19_36149612 -940.301793607994
93 19_22202229 19_36149612 -940.413744417142
94 19_22205740 19_36149612 -940.526765832323
95 19_22209250 19_36149612 -940.640512671113
96 19_22212761 19_36149612 -940.754637849291
97 19_22216272 19_36149612 -940.868787721166
98 19_22219783 19_36149612 -940.982610883986
99 19_22223294 19_36149612 -941.095764563053
100 19_22226805 19_36149612 -941.207911928464
101 19_22230316 19_36149612 -941.303089457
102 19_22233827 19_36149612 -941.320044973602
103 19_22237338 19_36149612 -941.250644224345
104 19_22240848 19_36149612 -939.963675143558
105 19_22244457 19_36149612 -939.77335146632
106 19_22264004 19_36149612 -939.700546067538
107 19_22288023 19_36149612 -939.710302147242
108 19_22294213 19_36149612 -939.714989504805
109 19_22298836 19_36149612 -939.710124421214
110 19_22303459 19_36149612 -939.6998456245
111 19_22333838 19_36149612 -939.685392141126
112 19_22382301 19_36149612 -939.666761491542
113 19_22413259 19_36149612 -939.643862445614
114 19_22419242 19_36149612 -939.616771145877
115 19_22425226 19_36149612 -939.585476947101
116 19_22431209 19_36149612 -939.55013310458
117 19_22435586 19_36149612 -939.511110379259
118 19_22436965 19_36149612 -939.468628955439
119 19_22438344 19_36149612 -939.422667712663
120 19_22439723 19_36149612 -939.373527678834
121 19_22441102 19_36149612 -939.321535017335
122 19_22442482 19_36149612 -939.267038800834
123 19_22443861 19_36149612 -939.210401298475
124 19_22445240 19_36149612 -939.151990354232
125 19_22446619 19_36149612 -939.118941709805
126 19_22447998 19_36149612 -939.101951853157
127 19_22449377 19_36149612 -939.100779281362
128 19_22450756 19_36149612 -939.09978982467
129 19_22452135 19_36149612 -939.098511285594
130 19_22453515 19_36149612 -939.097693434295
131 19_22454894 19_36149612 -939.097342471194
132 19_22456273 19_36149612 -939.097459984437
133 19_22507525 19_36149612 -939.098080279793
134 19_22560818 19_36149612 -939.112433086545
135 19_22567436 19_36149612 -939.155794921519
136 19_22570782 19_36149612 -939.202673060168
137 19_22574128 19_36149612 -939.252893145896
138 19_22577474 19_36149612 -939.306282600671
139 19_22580820 19_36149612 -939.358173285314
140 19_22584166 19_36149612 -939.346432712489
141 19_22587512 19_36149612 -939.33461057366
142 19_22590858 19_36149612 -939.322727044937
143 19_22594203 19_36149612 -939.299970222962
144 19_22597549 19_36149612 -939.231002510669
145 19_22600895 19_36149612 -939.136787509868
146 19_22604768 19_36149612 -938.996652959071
147 19_22611929 19_36149612 -938.890334595032
148 19_22615951 19_36149612 -938.826214626411
149 19_22616579 19_36149612 -938.763201148143
150 19_22617111 19_36149612 -938.70127859679
151 19_22617643 19_36149612 -938.640758614716
152 19_22618175 19_36149612 -938.503760074333
153 19_22618707 19_36149612 -938.164439909462
154 19_22619240 19_36149612 -937.787094868254
155 19_22619772 19_36149612 -937.384951158891
156 19_22620304 19_36149612 -936.992708730564
157 19_22620537 19_36149612 -936.798355335977
158 19_22620655 19_36149612 -936.622286197981
159 19_22620774 19_36149612 -936.466319623135
160 19_22621212 19_36149612 -936.44410191165
161 19_22623056 19_36149612 -936.452871422699
162 19_22625940 19_36149612 -936.473386453579
163 19_22632448 19_36149612 -936.505063477177
164 19_22638956 19_36149612 -936.545356317159
165 19_22645464 19_36149612 -936.152767515094
166 19_22651972 19_36149612 -935.821138602968
167 19_22658480 19_36149612 -935.57202048618
168 19_22692039 19_36149612 -935.380058444882
169 19_22776340 19_36149612 -935.901972586687
170 19_22788765 19_36149612 -935.918713840037
171 19_22792288 19_36149612 -935.924556935468
