marker1 marker2 loglik
1 19_18147123 19_40068263 -1007.35184788089
2 19_18147270 19_40068263 -1007.24016530431
3 19_18147416 19_40068263 -1007.1279409901
4 19_18170066 19_40068263 -1007.01555449618
5 19_18210494 19_40068263 -1006.9581419171
6 19_18211151 19_40068263 -1006.90698364021
7 19_18211808 19_40068263 -1006.86050346395
8 19_18224115 19_40068263 -1006.77474431832
9 19_18226843 19_40068263 -1006.67871525403
10 19_18229572 19_40068263 -1006.56497015143
11 19_18232300 19_40068263 -1006.42929980507
12 19_18235779 19_40068263 -1006.28014081976
13 19_18244123 19_40068263 -1006.21144094484
14 19_18252467 19_40068263 -1006.14693106979
15 19_18275473 19_40068263 -1006.91859371377
16 19_18288997 19_40068263 -1007.18905434217
17 19_18302521 19_40068263 -1007.18259422988
18 19_18316045 19_40068263 -1007.1733643076
19 19_18333753 19_40068263 -1007.16108834021
20 19_18357444 19_40068263 -1007.17093972446
21 19_18363542 19_40068263 -1007.19220015155
22 19_18369640 19_40068263 -1007.21626595083
23 19_18375737 19_40068263 -1006.95622915461
24 19_18381835 19_40068263 -1006.77062057939
25 19_18387932 19_40068263 -1006.75116639663
26 19_18660511 19_40068263 -1006.72986719455
27 19_18668463 19_40068263 -1006.6340007608
28 19_18676416 19_40068263 -1007.14213716014
29 19_18975648 19_40068263 -1007.86954279958
30 19_19274879 19_40068263 -1008.04142256925
31 19_19305304 19_40068263 -1008.4283489333
32 19_19335729 19_40068263 -1008.61347901762
33 19_19461226 19_40068263 -1008.64051748456
34 19_19464083 19_40068263 -1008.6621891941
35 19_19466941 19_40068263 -1008.6838468196
36 19_19537824 19_40068263 -1008.70539029847
37 19_19548156 19_40068263 -1008.726730204
38 19_19558489 19_40068263 -1008.74778166049
39 19_19870145 19_40068263 -1008.7469440281
40 19_19874630 19_40068263 -1008.7672589314
41 19_19879115 19_40068263 -1008.78814165868
42 19_20125475 19_40068263 -1008.83095101365
43 19_20137919 19_40068263 -1008.88539255392
44 19_20150362 19_40068263 -1008.94571794983
45 19_20302600 19_40068263 -1008.81434767947
46 19_20303683 19_40068263 -1008.61912709424
47 19_20304765 19_40068263 -1008.42428728735
48 19_20626923 19_40068263 -1008.20669500098
49 19_20633442 19_40068263 -1008.1241704918
50 19_20639961 19_40068263 -1008.17466326503
51 19_20756178 19_40068263 -1008.16972716851
52 19_20775432 19_40068263 -1008.16083932426
53 19_20794687 19_40068263 -1008.30349622327
54 19_20796932 19_40068263 -1008.45903016037
55 19_20798905 19_40068263 -1008.62505612979
56 19_20801032 19_40068263 -1008.79889546901
57 19_20803231 19_40068263 -1008.97772869707
58 19_20805430 19_40068263 -1009.15875325087
59 19_20807629 19_40068263 -1009.33933153951
60 19_20902553 19_40068263 -1009.32632820394
61 19_20998510 19_40068263 -1009.38120516975
62 19_21094467 19_40068263 -1009.48087056164
63 19_21182134 19_40068263 -1009.5397777724
64 19_21270329 19_40068263 -1009.5736753371
65 19_21326896 19_40068263 -1009.63800072865
66 19_21332327 19_40068263 -1009.62147273497
67 19_21336729 19_40068263 -1009.60153297481
68 19_21341131 19_40068263 -1009.57854011303
69 19_21345533 19_40068263 -1009.5529022026
70 19_21349935 19_40068263 -1009.52505787833
71 19_21356079 19_40068263 -1009.4790570979
72 19_21515834 19_40068263 -1009.43664038931
73 19_21518274 19_40068263 -1009.40173166823
74 19_21520713 19_40068263 -1009.35602636887
75 19_21523152 19_40068263 -1009.3515098117
76 19_21533417 19_40068263 -1009.36118339047
77 19_21545048 19_40068263 -1009.38459721268
78 19_21727395 19_40068263 -1009.40086782862
79 19_21740049 19_40068263 -1009.40936331743
80 19_21752704 19_40068263 -1009.4231112944
81 19_21835817 19_40068263 -1009.56178002961
82 19_21840919 19_40068263 -1009.56067709618
83 19_21846022 19_40068263 -1009.5998532309
84 19_21936950 19_40068263 -1009.74351848175
85 19_21970456 19_40068263 -1009.68153016645
86 19_22003963 19_40068263 -1009.59325519974
87 19_22156073 19_40068263 -1009.54728063633
88 19_22172322 19_40068263 -1009.52775209631
89 19_22187306 19_40068263 -1009.51559615654
90 19_22191696 19_40068263 -1009.51243118611
91 19_22195207 19_40068263 -1009.50988173151
92 19_22198718 19_40068263 -1009.50371184389
93 19_22202229 19_40068263 -1009.4961185668
94 19_22205740 19_40068263 -1009.48874894579
95 19_22209250 19_40068263 -1009.48158188238
96 19_22212761 19_40068263 -1009.47459439312
97 19_22216272 19_40068263 -1009.46776153082
98 19_22219783 19_40068263 -1009.46105779831
99 19_22223294 19_40068263 -1009.45445699585
100 19_22226805 19_40068263 -1009.4479330595
101 19_22230316 19_40068263 -1009.43963847207
102 19_22233827 19_40068263 -1009.42254105812
103 19_22237338 19_40068263 -1009.47735111213
104 19_22240848 19_40068263 -1009.70096890412
105 19_22244457 19_40068263 -1009.83775792875
106 19_22264004 19_40068263 -1009.90204792584
107 19_22288023 19_40068263 -1009.89102698968
108 19_22294213 19_40068263 -1009.8846466976
109 19_22298836 19_40068263 -1009.87588353356
110 19_22303459 19_40068263 -1009.86641195078
111 19_22333838 19_40068263 -1009.85661680053
112 19_22382301 19_40068263 -1009.84663247506
113 19_22413259 19_40068263 -1009.83635034217
114 19_22419242 19_40068263 -1009.8257165129
115 19_22425226 19_40068263 -1009.81478463817
116 19_22431209 19_40068263 -1009.80339234541
117 19_22435586 19_40068263 -1009.7919239736
118 19_22436965 19_40068263 -1009.78044312293
119 19_22438344 19_40068263 -1009.76881082203
120 19_22439723 19_40068263 -1009.75705758825
121 19_22441102 19_40068263 -1009.74521252459
122 19_22442482 19_40068263 -1009.733303716
123 19_22443861 19_40068263 -1009.7213574197
124 19_22445240 19_40068263 -1009.70939830436
125 19_22446619 19_40068263 -1009.74782549673
126 19_22447998 19_40068263 -1009.78224303253
127 19_22449377 19_40068263 -1009.7827256973
128 19_22450756 19_40068263 -1009.78273529488
129 19_22452135 19_40068263 -1009.78179246334
130 19_22453515 19_40068263 -1009.78065354918
131 19_22454894 19_40068263 -1009.77932190784
132 19_22456273 19_40068263 -1009.77780111298
133 19_22507525 19_40068263 -1009.77603457606
134 19_22560818 19_40068263 -1009.76888801427
135 19_22567436 19_40068263 -1009.75123081239
136 19_22570782 19_40068263 -1009.734032388
137 19_22574128 19_40068263 -1009.71740395613
138 19_22577474 19_40068263 -1009.70142423663
139 19_22580820 19_40068263 -1009.68623932371
140 19_22584166 19_40068263 -1009.67229183892
141 19_22587512 19_40068263 -1009.65805606751
142 19_22590858 19_40068263 -1009.64354176285
