marker1 marker2 loglik
1 19_18147123 19_25768410 -1004.42219302877
2 19_18147270 19_25768410 -1004.38264805516
3 19_18147416 19_25768410 -1004.35084243024
4 19_18170066 19_25768410 -1004.32753331126
5 19_18210494 19_25768410 -1004.31879300449
6 19_18211151 19_25768410 -1004.30893433229
7 19_18211808 19_25768410 -1004.29887475972
8 19_18224115 19_25768410 -1004.27309797222
9 19_18226843 19_25768410 -1004.2637296413
10 19_18229572 19_25768410 -1004.34000845697
11 19_18232300 19_25768410 -1004.46247553812
12 19_18235779 19_25768410 -1004.62385393094
13 19_18244123 19_25768410 -1004.65823901129
14 19_18252467 19_25768410 -1004.683269155
15 19_18275473 19_25768410 -1004.53472585022
16 19_18288997 19_25768410 -1004.45672840517
17 19_18302521 19_25768410 -1004.44318159678
18 19_18316045 19_25768410 -1004.44043930449
19 19_18333753 19_25768410 -1004.47508059808
20 19_18357444 19_25768410 -1004.52214621825
21 19_18363542 19_25768410 -1004.57423008482
22 19_18369640 19_25768410 -1004.63302362941
23 19_18375737 19_25768410 -1004.28987990359
24 19_18381835 19_25768410 -1003.83725034482
25 19_18387932 19_25768410 -1003.50855948193
26 19_18660511 19_25768410 -1003.65399672987
27 19_18668463 19_25768410 -1003.8766387314
28 19_18676416 19_25768410 -1004.24411707725
29 19_18975648 19_25768410 -1003.9641724219
30 19_19274879 19_25768410 -1003.95269635709
31 19_19305304 19_25768410 -1003.96566342758
32 19_19335729 19_25768410 -1004.03168626717
33 19_19461226 19_25768410 -1004.08853914579
34 19_19464083 19_25768410 -1004.15381733241
35 19_19466941 19_25768410 -1004.22134246492
36 19_19537824 19_25768410 -1004.29076910192
37 19_19548156 19_25768410 -1004.36171096361
38 19_19558489 19_25768410 -1004.43375736455
39 19_19870145 19_25768410 -1004.32529116051
40 19_19874630 19_25768410 -1004.32190397449
41 19_19879115 19_25768410 -1004.32118060544
42 19_20125475 19_25768410 -1004.33589056055
43 19_20137919 19_25768410 -1004.35328363718
44 19_20150362 19_25768410 -1004.37008321346
45 19_20302600 19_25768410 -1004.39155573484
46 19_20303683 19_25768410 -1004.41073968941
47 19_20304765 19_25768410 -1004.42946478816
48 19_20626923 19_25768410 -1004.21919148551
49 19_20633442 19_25768410 -1004.16063674654
50 19_20639961 19_25768410 -1004.17454451331
51 19_20756178 19_25768410 -1004.19965016422
52 19_20775432 19_25768410 -1004.23622005383
53 19_20794687 19_25768410 -1004.16429455996
54 19_20796932 19_25768410 -1004.10101239451
55 19_20798905 19_25768410 -1004.04922911411
56 19_20801032 19_25768410 -1004.01143581963
57 19_20803231 19_25768410 -1003.98956063624
58 19_20805430 19_25768410 -1003.98482741538
59 19_20807629 19_25768410 -1003.99767840844
60 19_20902553 19_25768410 -1003.4330309157
61 19_20998510 19_25768410 -1003.31355581401
62 19_21094467 19_25768410 -1003.83505440556
63 19_21182134 19_25768410 -1003.79952524087
64 19_21270329 19_25768410 -1003.77316688809
65 19_21326896 19_25768410 -1003.66991861096
66 19_21332327 19_25768410 -1003.68584817199
67 19_21336729 19_25768410 -1003.70502946557
68 19_21341131 19_25768410 -1003.72722238859
69 19_21345533 19_25768410 -1003.75213199581
70 19_21349935 19_25768410 -1003.77942330391
71 19_21356079 19_25768410 -1003.96970437588
72 19_21515834 19_25768410 -1004.02638067966
73 19_21518274 19_25768410 -1004.01221947619
74 19_21520713 19_25768410 -1003.98083453001
75 19_21523152 19_25768410 -1003.90869710925
76 19_21533417 19_25768410 -1003.79435830328
77 19_21545048 19_25768410 -1003.6417121401
78 19_21727395 19_25768410 -1003.42687922565
79 19_21740049 19_25768410 -1003.17708506047
80 19_21752704 19_25768410 -1002.91861561975
81 19_21835817 19_25768410 -1002.58658779636
