Var1 Var2 loglik
1 19_29089975 19_29089975 -797.234835312955
2 19_29244528 19_29089975 -794.462781380027
3 19_29367672 19_29089975 -793.737269026349
4 19_29395445 19_29089975 -790.684373545872
5 19_29423219 19_29089975 -790.235202349971
6 19_29450992 19_29089975 -790.255646215181
7 19_29551490 19_29089975 -790.505345535326
8 19_29699985 19_29089975 -791.931025796483
9 19_29826905 19_29089975 -791.926122825911
10 19_29868828 19_29089975 -791.800986786184
11 19_29898206 19_29089975 -791.486919673905
12 19_29927583 19_29089975 -791.129399504452
13 19_29939649 19_29089975 -790.811376650759
14 19_29945780 19_29089975 -790.392635593822
15 19_29951911 19_29089975 -789.985720903943
16 19_29958042 19_29089975 -788.99444723775
17 19_30077227 19_29089975 -788.964527075802
18 19_30166670 19_29089975 -789.316745335011
19 19_30172106 19_29089975 -790.246495798578
20 19_30177542 19_29089975 -791.625676603761
21 19_30181155 19_29089975 -793.393452680341
22 19_30181489 19_29089975 -795.514197087197
23 19_30181824 19_29089975 -797.942829985528
24 19_30198765 19_29089975 -800.475687970262
25 19_30223345 19_29089975 -800.810874903616
26 19_30235407 19_29089975 -800.820992919146
27 19_30239974 19_29089975 -800.810739128461
28 19_30244541 19_29089975 -800.800502683542
29 19_30249108 19_29089975 -800.79036589029
30 19_30253675 19_29089975 -800.780332735466
31 19_30258951 19_29089975 -800.770440493808
32 19_30270322 19_29089975 -800.760683096086
33 19_30281692 19_29089975 -800.751040294213
34 19_30322270 19_29089975 -800.741571438305
35 19_30431504 19_29089975 -800.875038087509
36 19_30438286 19_29089975 -801.65488035814
37 19_30445067 19_29089975 -802.645215630617
38 19_30451849 19_29089975 -803.837537248896
39 19_30574351 19_29089975 -803.89233426393
40 19_30671049 19_29089975 -804.765350495026
41 19_30676947 19_29089975 -804.661364894776
42 19_30682620 19_29089975 -806.654815081146
43 19_30688292 19_29089975 -811.700671332614
44 19_30695028 19_29089975 -819.3355189418
45 19_30713997 19_29089975 -810.817001930955
46 19_30732967 19_29089975 -805.75079313314
47 19_30751936 19_29089975 -805.909622278144
48 19_30770905 19_29089975 -806.21356575007
49 19_30789875 19_29089975 -806.52301439421
50 19_30822913 19_29089975 -806.740368060794
51 19_30871283 19_29089975 -806.745110989432
52 19_30875645 19_29089975 -806.750088341984
53 19_30880007 19_29089975 -806.752472275359
54 19_30948074 19_29089975 -806.73938840361
55 19_31046561 19_29089975 -810.600779925156
56 19_31048782 19_29089975 -810.66504588289
57 19_31051002 19_29089975 -810.789006827805
58 19_31053222 19_29089975 -810.973826387465
59 19_31055443 19_29089975 -811.218046430244
60 19_31057663 19_29089975 -811.517658844849
61 19_31071475 19_29089975 -811.781494189826
62 19_31171120 19_29089975 -811.897640151034
63 19_31192742 19_29089975 -811.993335375447
64 19_31202783 19_29089975 -811.948188103151
65 19_31205947 19_29089975 -811.909685846453
66 19_31209112 19_29089975 -811.87800793335
67 19_31212276 19_29089975 -811.499840931482
68 19_31215441 19_29089975 -811.202309208261
69 19_31218605 19_29089975 -811.013511160517
70 19_31221770 19_29089975 -810.933449647661
71 19_31224934 19_29089975 -810.959748660788
72 19_31228099 19_29089975 -810.992511305874
73 19_31230108 19_29089975 -811.027188950825
74 19_31231863 19_29089975 -811.206882393279
75 19_31233618 19_29089975 -811.117453705123
76 19_31235372 19_29089975 -811.053455839863
77 19_31237127 19_29089975 -811.016180755247
78 19_31238882 19_29089975 -811.006272879157
79 19_31240713 19_29089975 -811.024052163773
80 19_31243877 19_29089975 -811.069186027076
81 19_31256110 19_29089975 -811.124018058495
82 19_31277732 19_29089975 -811.184188843475
83 19_31299355 19_29089975 -811.256168859937
84 19_31320977 19_29089975 -811.339652351977
85 19_31342599 19_29089975 -811.434190026415
86 19_31364221 19_29089975 -811.539486790082
87 19_31385844 19_29089975 -811.669502775869
88 19_31438160 19_29089975 -811.817648402961
89 19_31447073 19_29089975 -811.866513792016
90 19_31449927 19_29089975 -811.946611850736
91 19_31452781 19_29089975 -812.145447208062
92 19_31455635 19_29089975 -812.103613475427
93 19_31458735 19_29089975 -812.052104660886
94 19_31466155 19_29089975 -812.128235387234
95 19_31543307 19_29089975 -812.314324423487
96 19_31558043 19_29089975 -812.624897412456
97 19_31572779 19_29089975 -812.82175297484
98 19_31587516 19_29089975 -812.84251887544
99 19_31653333 19_29089975 -812.905995813189
100 19_31694598 19_29089975 -813.016289556643
101 19_31735863 19_29089975 -813.22905481117
102 19_31777128 19_29089975 -813.393569269047
103 19_31814623 19_29089975 -813.648883246329
104 19_31816895 19_29089975 -813.994443031908
105 19_31819167 19_29089975 -814.428188403692
106 19_31821439 19_29089975 -815.942898980107
107 19_31903650 19_29089975 -816.061938044401
108 19_31927743 19_29089975 -816.043885726274
109 19_31951836 19_29089975 -816.018750047799
110 19_32054356 19_29089975 -816.091192098497
111 19_32082893 19_29089975 -816.306278467902
112 19_32111430 19_29089975 -819.28402175623
113 19_32139966 19_29089975 -819.809030801891
114 19_32168503 19_29089975 -819.898920885448
115 19_32197040 19_29089975 -819.915593609559
116 19_32252908 19_29089975 -819.840951446454
117 19_32437021 19_29089975 -824.904090308667
118 19_32455155 19_29089975 -825.721027317114
119 19_32473289 19_29089975 -825.646872726718
120 19_32491424 19_29089975 -825.520639868408
121 19_32504071 19_29089975 -825.404696971947
122 19_32509776 19_29089975 -825.554174847742
123 19_32515498 19_29089975 -825.750937197124
124 19_32521248 19_29089975 -825.73625822945
125 19_32526997 19_29089975 -825.591365421251
126 19_32532746 19_29089975 -825.579075814176
127 19_32538495 19_29089975 -825.590267832072
128 19_32553828 19_29089975 -825.625559782143
129 19_29089975 19_29244528 -796.818908964817
130 19_29244528 19_29244528 -793.935769764571
131 19_29367672 19_29244528 -793.195749058233
132 19_29395445 19_29244528 -790.061391952912
133 19_29423219 19_29244528 -789.520555927531
134 19_29450992 19_29244528 -789.540957324887
135 19_29551490 19_29244528 -789.783920735154
136 19_29699985 19_29244528 -791.190337251295
137 19_29826905 19_29244528 -791.185510116508
138 19_29868828 19_29244528 -791.060861072834
139 19_29898206 19_29244528 -790.747465574275
140 19_29927583 19_29244528 -790.390478861658
141 19_29939649 19_29244528 -790.07275168714
142 19_29945780 19_29244528 -789.654599358365
143 19_29951911 19_29244528 -789.246599857043
144 19_29958042 19_29244528 -788.239968635379
145 19_30077227 19_29244528 -788.208745853384
146 19_30166670 19_29244528 -788.566722026653
147 19_30172106 19_29244528 -789.503284998749
148 19_30177542 19_29244528 -790.891539860267
149 19_30181155 19_29244528 -792.669884424072
150 19_30181489 19_29244528 -794.802269135346
151 19_30181824 19_29244528 -797.243241091779
152 19_30198765 19_29244528 -799.787480750837
153 19_30223345 19_29244528 -800.11942838754
154 19_30235407 19_29244528 -800.129244296055
155 19_30239974 19_29244528 -800.118902297568
156 19_30244541 19_29244528 -800.108567606093
157 19_30249108 19_29244528 -800.098322345619
158 19_30253675 19_29244528 -800.08817174581
159 19_30258951 19_29244528 -800.07815339151
160 19_30270322 19_29244528 -800.068261092153
161 19_30281692 19_29244528 -800.058474375253
162 19_30322270 19_29244528 -800.0488533885
163 19_30431504 19_29244528 -800.181988622726
164 19_30438286 19_29244528 -800.960867981559
165 19_30445067 19_29244528 -801.950185330169
166 19_30451849 19_29244528 -803.141428429826
167 19_30574351 19_29244528 -803.196016513011
168 19_30671049 19_29244528 -804.073278533655
169 19_30676947 19_29244528 -803.968287522397
170 19_30682620 19_29244528 -805.962199469591
171 19_30688292 19_29244528 -811.009767960537
172 19_30695028 19_29244528 -818.64639381846
173 19_30713997 19_29244528 -810.122717822082
174 19_30732967 19_29244528 -805.049779973986
175 19_30751936 19_29244528 -805.206915491746
176 19_30770905 19_29244528 -805.510019478192
177 19_30789875 19_29244528 -805.81851643341
178 19_30822913 19_29244528 -806.03506742198
179 19_30871283 19_29244528 -806.039506381033
180 19_30875645 19_29244528 -806.044172204506
181 19_30880007 19_29244528 -806.046203932279
182 19_30948074 19_29244528 -806.032553654248
183 19_31046561 19_29244528 -809.870270308111
184 19_31048782 19_29244528 -809.933223587276
185 19_31051002 19_29244528 -810.054731619926
186 19_31053222 19_29244528 -810.235879255463
187 19_31055443 19_29244528 -810.475322995176
188 19_31057663 19_29244528 -810.769368855615
189 19_31071475 19_29244528 -811.033780800151
190 19_31171120 19_29244528 -811.153844276982
191 19_31192742 19_29244528 -811.255094109003
192 19_31202783 19_29244528 -811.209209196049
193 19_31205947 19_29244528 -811.170015302882
194 19_31209112 19_29244528 -811.137694348699
195 19_31212276 19_29244528 -810.759228300753
196 19_31215441 19_29244528 -810.46119032996
197 19_31218605 19_29244528 -810.271653806792
198 19_31221770 19_29244528 -810.190628290498
199 19_31224934 19_29244528 -810.215748237358
200 19_31228099 19_29244528 -810.247607552847
201 19_31230108 19_29244528 -810.280595890321
202 19_31231863 19_29244528 -810.460440140989
203 19_31233618 19_29244528 -810.371598436986
204 19_31235372 19_29244528 -810.308121781968
205 19_31237127 19_29244528 -810.271236873399
206 19_31238882 19_29244528 -810.261533373097
207 19_31240713 19_29244528 -810.279296163357
208 19_31243877 19_29244528 -810.324174936334
209 19_31256110 19_29244528 -810.378379222175
210 19_31277732 19_29244528 -810.437754249294
211 19_31299355 19_29244528 -810.50887118321
212 19_31320977 19_29244528 -810.59142591611
213 19_31342599 19_29244528 -810.684972572594
214 19_31364221 19_29244528 -810.789217229783
215 19_31385844 19_29244528 -810.918233702608
216 19_31438160 19_29244528 -811.065611050409
217 19_31447073 19_29244528 -811.114252160389
218 19_31449927 19_29244528 -811.192573377397
219 19_31452781 19_29244528 -811.385416593265
220 19_31455635 19_29244528 -811.342022856236
221 19_31458735 19_29244528 -811.287721098043
222 19_31466155 19_29244528 -811.360912191908
223 19_31543307 19_29244528 -811.544060845982
224 19_31558043 19_29244528 -811.851657376743
225 19_31572779 19_29244528 -812.049699330869
226 19_31587516 19_29244528 -812.068563558376
227 19_31653333 19_29244528 -812.130195619294
228 19_31694598 19_29244528 -812.238261772357
229 19_31735863 19_29244528 -812.448403363986
230 19_31777128 19_29244528 -812.610793654661
231 19_31814623 19_29244528 -812.863614553475
232 19_31816895 19_29244528 -813.206313991474
233 19_31819167 19_29244528 -813.636845367688
234 19_31821439 19_29244528 -815.153568423531
235 19_31903650 19_29244528 -815.271536467681
236 19_31927743 19_29244528 -815.252820261516
237 19_31951836 19_29244528 -815.227038780205
238 19_32054356 19_29244528 -815.299786383772
239 19_32082893 19_29244528 -815.515949850907
240 19_32111430 19_29244528 -818.516969374936
241 19_32139966 19_29244528 -819.045499796671
242 19_32168503 19_29244528 -819.135370673641
243 19_32197040 19_29244528 -819.15123528899
244 19_32252908 19_29244528 -819.075640594799
245 19_32437021 19_29244528 -824.120232631016
246 19_32455155 19_29244528 -824.934931685737
247 19_32473289 19_29244528 -824.859391633968
248 19_32491424 19_29244528 -824.731458993389
249 19_32504071 19_29244528 -824.614142536859
250 19_32509776 19_29244528 -824.761184802389
251 19_32515498 19_29244528 -824.955581205424
252 19_32521248 19_29244528 -824.938710927721
253 19_32526997 19_29244528 -824.797304676593
254 19_32532746 19_29244528 -824.782734751134
255 19_32538495 19_29244528 -824.791564458646
256 19_32553828 19_29244528 -824.824422258424
257 19_29089975 19_29367672 -796.422358505811
258 19_29244528 19_29367672 -793.552968011053
259 19_29367672 19_29367672 -792.812420755087
260 19_29395445 19_29367672 -789.660551143822
261 19_29423219 19_29367672 -789.113674592588
262 19_29450992 19_29367672 -789.13393802754
263 19_29551490 19_29367672 -789.374401124188
264 19_29699985 19_29367672 -790.7760962657
265 19_29826905 19_29367672 -790.771370921035
266 19_29868828 19_29367672 -790.646886151058
267 19_29898206 19_29367672 -790.334162929561
268 19_29927583 19_29367672 -789.977926880298
269 19_29939649 19_29367672 -789.660806770768
270 19_29945780 19_29367672 -789.244809684758
271 19_29951911 19_29367672 -788.838511529761
272 19_29958042 19_29367672 -787.825953614726
273 19_30077227 19_29367672 -787.795501566323
274 19_30166670 19_29367672 -788.154024951468
275 19_30172106 19_29367672 -789.092049903152
276 19_30177542 19_29367672 -790.482181898136
277 19_30181155 19_29367672 -792.262723122618
278 19_30181489 19_29367672 -794.397381895308
279 19_30181824 19_29367672 -796.84049108544
280 19_30198765 19_29367672 -799.386438290458
281 19_30223345 19_29367672 -799.717549325213
282 19_30235407 19_29367672 -799.727463051127
283 19_30239974 19_29367672 -799.717279350437
284 19_30244541 19_29367672 -799.707102552855
285 19_30249108 19_29367672 -799.697014417855
286 19_30253675 19_29367672 -799.687019828698
287 19_30258951 19_29367672 -799.677156364448
288 19_30270322 19_29367672 -799.667417801477
289 19_30281692 19_29367672 -799.657783619202
290 19_30322270 19_29367672 -799.648313812183
291 19_30431504 19_29367672 -799.781597929647
292 19_30438286 19_29367672 -800.560573332163
293 19_30445067 19_29367672 -801.54989392499
294 19_30451849 19_29367672 -802.741042474683
295 19_30574351 19_29367672 -802.795757288545
296 19_30671049 19_29367672 -803.669392741352
297 19_30676947 19_29367672 -803.564168314013
298 19_30682620 19_29367672 -805.55555458705
299 19_30688292 19_29367672 -810.601808102096
300 19_30695028 19_29367672 -818.238623151711
301 19_30713997 19_29367672 -809.714428290104
302 19_30732967 19_29367672 -804.643249972021
303 19_30751936 19_29367672 -804.801266837609
304 19_30770905 19_29367672 -805.104539616559
305 19_30789875 19_29367672 -805.413162367114
306 19_30822913 19_29367672 -805.629804684269
307 19_30871283 19_29367672 -805.634336895397
308 19_30875645 19_29367672 -805.639094446856
309 19_30880007 19_29367672 -805.64122266634
310 19_30948074 19_29367672 -805.627677475842
311 19_31046561 19_29367672 -809.465540823654
312 19_31048782 19_29367672 -809.52872277966
313 19_31051002 19_29367672 -809.650390598123
314 19_31053222 19_29367672 -809.831602141273
315 19_31055443 19_29367672 -810.070980689882
316 19_31057663 19_29367672 -810.364803272441
317 19_31071475 19_29367672 -810.629428093657
318 19_31171120 19_29367672 -810.749948102104
319 19_31192742 19_29367672 -810.851063071301
320 19_31202783 19_29367672 -810.805070204959
321 19_31205947 19_29367672 -810.765750330653
322 19_31209112 19_29367672 -810.733285126138
323 19_31212276 19_29367672 -810.354922854579
324 19_31215441 19_29367672 -810.056864118508
325 19_31218605 19_29367672 -809.867161377482
326 19_31221770 19_29367672 -809.785827110753
327 19_31224934 19_29367672 -809.810501396771
328 19_31228099 19_29367672 -809.842147578544
329 19_31230108 19_29367672 -809.874191203095
330 19_31231863 19_29367672 -810.051015760905
331 19_31233618 19_29367672 -809.96218299493
332 19_31235372 19_29367672 -809.89863299341
333 19_31237127 19_29367672 -809.861591535176
334 19_31238882 19_29367672 -809.851654296837
335 19_31240713 19_29367672 -809.869111432109
336 19_31243877 19_29367672 -809.913616407609
337 19_31256110 19_29367672 -809.967500555808
338 19_31277732 19_29367672 -810.026581476799
339 19_31299355 19_29367672 -810.097372421737
340 19_31320977 19_29367672 -810.179570406215
341 19_31342599 19_29367672 -810.272730819798
342 19_31364221 19_29367672 -810.376560595771
343 19_31385844 19_29367672 -810.505187091974
344 19_31438160 19_29367672 -810.652303349491
345 19_31447073 19_29367672 -810.701053288082
346 19_31449927 19_29367672 -810.779187570751
347 19_31452781 19_29367672 -810.970217332836
348 19_31455635 19_29367672 -810.92670292681
349 19_31458735 19_29367672 -810.871965729165
350 19_31466155 19_29367672 -810.944661318555
351 19_31543307 19_29367672 -811.127251722326
352 19_31558043 19_29367672 -811.434245784255
353 19_31572779 19_29367672 -811.634066763048
354 19_31587516 19_29367672 -811.652913979495
355 19_31653333 19_29367672 -811.71453809866
356 19_31694598 19_29367672 -811.822576778412
357 19_31735863 19_29367672 -812.032659995827
358 19_31777128 19_29367672 -812.194941100714
359 19_31814623 19_29367672 -812.447442980056
360 19_31816895 19_29367672 -812.789610902031
361 19_31819167 19_29367672 -813.219401313032
362 19_31821439 19_29367672 -814.727180359708
363 19_31903650 19_29367672 -814.844127507408
364 19_31927743 19_29367672 -814.825317262335
365 19_31951836 19_29367672 -814.799468520978
