value loglik
NA 19_18147123 -945.270537032866
NA 19_18147270 -945.180218945132
NA 19_18147416 -945.087145171165
NA 19_18170066 -944.99198673875
NA 19_18210494 -944.986869098833
NA 19_18211151 -944.98574340919
NA 19_18211808 -944.986270220689
NA 19_18224115 -944.993170411796
NA 19_18226843 -945.031041653448
NA 19_18229572 -945.256352226615
NA 19_18232300 -945.467554967621
NA 19_18235779 -945.656596685662
NA 19_18244123 -945.704034792137
NA 19_18252467 -945.752692643532
NA 19_18275473 -945.925213665637
NA 19_18288997 -945.92028556586
NA 19_18302521 -945.936612765987
NA 19_18316045 -945.939186474389
NA 19_18333753 -945.894883635552
NA 19_18357444 -945.804420621834
NA 19_18363542 -945.708796488289
NA 19_18369640 -945.615498701866
NA 19_18375737 -945.602524234152
NA 19_18381835 -945.542584096531
NA 19_18387932 -945.520229376726
NA 19_18660511 -945.985388340409
NA 19_18668463 -946.47443603007
NA 19_18676416 -946.937867900873
NA 19_18975648 -946.89906570767
NA 19_19274879 -946.564622130826
NA 19_19305304 -945.593146380864
NA 19_19335729 -945.171633415769
NA 19_19461226 -945.237612361325
NA 19_19464083 -945.305793382944
NA 19_19466941 -945.3767271861
NA 19_19537824 -945.449602851128
NA 19_19548156 -945.523595429572
NA 19_19558489 -945.597892223303
NA 19_19870145 -945.589261748793
NA 19_19874630 -945.589151343601
NA 19_19879115 -945.606493256545
NA 19_20125475 -945.604013312169
NA 19_20137919 -945.599200411095
NA 19_20150362 -945.602628798193
NA 19_20302600 -945.624545760843
NA 19_20303683 -945.65131512486
NA 19_20304765 -945.64838271063
NA 19_20626923 -945.674408963239
NA 19_20633442 -945.619573711603
NA 19_20639961 -945.505850508982
NA 19_20756178 -945.313863678192
NA 19_20775432 -945.094433570896
NA 19_20794687 -944.79623809246
NA 19_20796932 -944.497158963922
NA 19_20798905 -944.201311673
NA 19_20801032 -943.91269522928
NA 19_20803231 -943.63499129804
NA 19_20805430 -943.371392790951
NA 19_20807629 -943.124457246176
NA 19_20902553 -944.391628921632
NA 19_20998510 -944.481731605108
NA 19_21094467 -944.488405016383
NA 19_21182134 -944.513823072353
NA 19_21270329 -944.438304445135
NA 19_21326896 -944.288686245771
NA 19_21332327 -944.214644478752
NA 19_21336729 -944.13906706078
NA 19_21341131 -944.062836193171
NA 19_21345533 -943.986851971057
NA 19_21349935 -943.911998727498
NA 19_21356079 -943.752817526576
NA 19_21515834 -943.515719073716
NA 19_21518274 -943.377713194189
NA 19_21520713 -943.451040980824
NA 19_21523152 -943.532434369466
NA 19_21533417 -943.6126914556
