value loglik
NA 19_18147123 -995.157304548769
NA 19_18147270 -995.084838062714
NA 19_18147416 -995.015370530677
NA 19_18170066 -994.949237734123
NA 19_18210494 -994.898726737591
NA 19_18211151 -994.851868834021
NA 19_18211808 -994.808550053555
NA 19_18224115 -994.775397884359
NA 19_18226843 -994.726303334594
NA 19_18229572 -994.567039477182
NA 19_18232300 -994.282405767546
NA 19_18235779 -993.886017485693
NA 19_18244123 -993.802863844205
NA 19_18252467 -993.751993524775
NA 19_18275473 -993.814483351818
NA 19_18288997 -993.999603373856
NA 19_18302521 -993.998246561044
NA 19_18316045 -994.004693062403
NA 19_18333753 -994.029842195804
NA 19_18357444 -994.109878871001
NA 19_18363542 -994.212862401155
NA 19_18369640 -994.315385063741
NA 19_18375737 -994.092482276198
NA 19_18381835 -993.86059239829
NA 19_18387932 -993.72489740207
NA 19_18660511 -993.856100222745
NA 19_18668463 -994.059714705381
NA 19_18676416 -995.200751420732
NA 19_18975648 -995.489289106117
NA 19_19274879 -995.566645854871
NA 19_19305304 -995.641480784162
NA 19_19335729 -995.721284730589
NA 19_19461226 -995.843617766247
NA 19_19464083 -995.963218841383
NA 19_19466941 -996.081182246315
NA 19_19537824 -996.197065365454
NA 19_19548156 -996.310450260346
NA 19_19558489 -996.420946872725
NA 19_19870145 -996.427880825822
NA 19_19874630 -996.487374187751
NA 19_19879115 -996.545071721019
NA 19_20125475 -996.469808609992
NA 19_20137919 -996.368931455062
NA 19_20150362 -996.277389159529
NA 19_20302600 -996.264208316125
NA 19_20303683 -996.265442237387
NA 19_20304765 -996.251492691202
NA 19_20626923 -996.240636718415
NA 19_20633442 -996.286312724645
NA 19_20639961 -996.360765662815
NA 19_20756178 -996.332020500669
NA 19_20775432 -996.263932098646
NA 19_20794687 -996.185597473439
NA 19_20796932 -996.103319345624
NA 19_20798905 -996.019993291357
NA 19_20801032 -995.938405975269
NA 19_20803231 -995.861035767725
NA 19_20805430 -995.789895515935
NA 19_20807629 -995.726443456966
NA 19_20902553 -995.724974818217
NA 19_20998510 -995.62674441632
NA 19_21094467 -995.882113983753
NA 19_21182134 -995.833041364457
NA 19_21270329 -995.822053244192
NA 19_21326896 -995.824309350864
NA 19_21332327 -995.80973042097
NA 19_21336729 -995.796152608134
NA 19_21341131 -995.78371803203
NA 19_21345533 -995.772538761503
NA 19_21349935 -995.76269488201
NA 19_21356079 -995.731467631667
NA 19_21515834 -995.807854183017
NA 19_21518274 -995.846578021541
NA 19_21520713 -995.878663067836
NA 19_21523152 -995.934197770332
NA 19_21533417 -995.992335773057
NA 19_21545048 -996.047397112067
NA 19_21727395 -996.132611389489
NA 19_21740049 -996.230104373475
NA 19_21752704 -996.310725909514
NA 19_21835817 -996.339485325656
NA 19_21840919 -996.589297511906
NA 19_21846022 -996.600830775966
NA 19_21936950 -996.601826512617
NA 19_21970456 -996.580262044258
NA 19_22003963 -996.557974733668
NA 19_22156073 -996.557866579646
NA 19_22172322 -996.568970395067
NA 19_22187306 -996.572455671772
NA 19_22191696 -996.566685554062
NA 19_22195207 -996.5611497291
NA 19_22198718 -996.555687725819
NA 19_22202229 -996.550452884781
NA 19_22205740 -996.545485213054
NA 19_22209250 -996.540753461707
NA 19_22212761 -996.536223305365
NA 19_22216272 -996.53185908076
NA 19_22219783 -996.527624546309
NA 19_22223294 -996.523483652933
NA 19_22226805 -996.519402559656
NA 19_22230316 -996.510945840384
NA 19_22233827 -996.482286898972
NA 19_22237338 -996.661150647357
NA 19_22240848 -997.631568438293
NA 19_22244457 -997.895215532919
NA 19_22264004 -998.036035236673
NA 19_22288023 -998.040089010017
NA 19_22294213 -998.039067475298
NA 19_22298836 -998.036273749896
NA 19_22303459 -998.033019298667
NA 19_22333838 -998.02951516683
NA 19_22382301 -998.0257332397
NA 19_22413259 -998.021678119862
NA 19_22419242 -998.017361044135
NA 19_22425226 -998.012879532773
NA 19_22431209 -998.008169361366
NA 19_22435586 -998.003234426175
NA 19_22436965 -997.998057733218
NA 19_22438344 -997.992816375019
NA 19_22439723 -997.98753768835
NA 19_22441102 -997.982249782749
NA 19_22442482 -997.97698083005
NA 19_22443861 -997.971759262014
NA 19_22445240 -997.966611894979
NA 19_22446619 -998.036789587763
NA 19_22447998 -998.087389349704
NA 19_22449377 -998.085572405785
NA 19_22450756 -998.083079872827
NA 19_22452135 -998.079152768042
NA 19_22453515 -998.074993115981
NA 19_22454894 -998.070605487074
NA 19_22456273 -998.065995349988
NA 19_22507525 -998.061197431646
NA 19_22560818 -998.053767784404
NA 19_22567436 -998.041678371313
NA 19_22570782 -998.029857853069
NA 19_22574128 -998.01836475776
NA 19_22577474 -998.007241584663
NA 19_22580820 -997.996974070581
NA 19_22584166 -997.993273309215
NA 19_22587512 -997.989401726634
NA 19_22590858 -997.98536989124
NA 19_22594203 -997.978841864439
NA 19_22597549 -997.974259465485
NA 19_22600895 -997.976727065001
NA 19_22604768 -997.994722626192
NA 19_22611929 -998.012741566317
NA 19_22615951 -998.023091701249
NA 19_22616579 -998.033575014763
NA 19_22617111 -998.044206684306
NA 19_22617643 -998.054944569186
NA 19_22618175 -998.02340656779
NA 19_22618707 -997.936545856761
NA 19_22619240 -997.841136083045
NA 19_22619772 -997.739853400996
NA 19_22620304 -997.635028801777
NA 19_22620537 -997.521205070973
NA 19_22620655 -997.398906783577
NA 19_22620774 -997.269519465256
NA 19_22621212 -997.197284942913
NA 19_22623056 -997.132194552103
NA 19_22625940 -997.064767617742
NA 19_22632448 -996.995570131062
NA 19_22638956 -996.924993285602
NA 19_22645464 -996.795143368511
NA 19_22651972 -996.645488378862
NA 19_22658480 -996.484972830569
NA 19_22692039 -996.334777076484
NA 19_22776340 -995.804104853617
NA 19_22788765 -995.693764322969
NA 19_22792288 -995.691371443457
NA 19_22794125 -995.688985805481
NA 19_22795963 -995.686607937697
NA 19_22797800 -995.684237436959
NA 19_22799638 -995.68187465214
NA 19_22858304 -995.680380516327
NA 19_22891650 -995.65303590204
NA 19_22894267 -995.609082602173
NA 19_22896884 -995.548787017821
NA 19_22899501 -995.473753537584
NA 19_22902118 -996.027219305199
NA 19_22904734 -996.048441129359
NA 19_22907351 -995.973857643751
NA 19_22909968 -995.878653147732
NA 19_22912585 -995.76719858658
NA 19_23342789 -995.448144325777
NA 19_23344991 -995.426414940747
NA 19_23347193 -995.401633227468
NA 19_23350338 -995.687795945741
NA 19_23359294 -995.799512668843
NA 19_23368249 -995.808695075635
NA 19_23376634 -995.807592088975
NA 19_23378430 -995.787393340275
NA 19_23380227 -995.769487281103
NA 19_23382024 -995.752841387514
NA 19_23383821 -995.736805130507
NA 19_23385618 -995.720776139979
NA 19_23868659 -995.63321978226
NA 19_23870233 -995.70813337208
NA 19_23871808 -995.765414159445
NA 19_23873382 -995.800485663366
NA 19_23874956 -995.809821743964
NA 19_23876530 -995.791307144068
NA 19_23917687 -995.745759982589
NA 19_23917752 -995.703059633973
NA 19_23917817 -995.647431202907
NA 19_23918175 -995.581049693898
NA 19_23925367 -995.512833017305
NA 19_23932559 -995.438360559495
NA 19_23988954 -995.356053535353
NA 19_23999542 -995.331383693849
NA 19_24010131 -995.253968998251
NA 19_24048529 -995.140618911514
NA 19_24058490 -995.132410507623
NA 19_24068452 -995.214047035318
NA 19_24078414 -995.291651549344
NA 19_24151901 -995.221031280692
NA 19_24152632 -995.148051105029
NA 19_24153364 -995.074475594075
NA 19_24154095 -995.002121535222
NA 19_24154826 -994.932644480916
NA 19_24155557 -994.861452057578
NA 19_24307454 -995.25686917174
NA 19_24332887 -995.233421295722
NA 19_24358320 -995.220042365129
NA 19_24382219 -995.205164390992
NA 19_24382803 -995.207821716916
NA 19_24383257 -995.224806666474
NA 19_24383620 -995.248360420175
NA 19_24383973 -995.267528341917
NA 19_24384325 -995.264994319989
NA 19_24384678 -995.24365420432
NA 19_24385081 -995.28733787829
NA 19_24386149 -995.388643405947
NA 19_24615398 -994.939915459852
NA 19_24623533 -994.388836228962
NA 19_24631669 -993.817440396582
NA 19_24646048 -993.877075997228
NA 19_24651380 -993.563120965276
NA 19_24655682 -993.278545112529
NA 19_24659983 -992.984308867172
NA 19_24661370 -992.695102655356
NA 19_24662705 -992.416310631499
NA 19_24664113 -992.321626160809
NA 19_24687303 -992.220160282418
NA 19_24729734 -992.117150396503
NA 19_24741223 -992.022956620631
NA 19_24745602 -991.910118428733
NA 19_24749981 -991.879464009909
NA 19_24754360 -991.878754147853
NA 19_24758506 -991.886933121911
NA 19_24762609 -991.899297931725
NA 19_24809264 -991.912286993876
NA 19_24874336 -991.924960325201
NA 19_24939407 -991.936282033181
NA 19_25004478 -991.950418402792
NA 19_25069550 -991.891527013099
NA 19_25094384 -991.679626264064
NA 19_25099509 -991.494950931669
NA 19_25100587 -991.320132373564
NA 19_25101665 -991.162557600785
NA 19_25102743 -991.028859719473
NA 19_25103820 -990.924140883763
NA 19_25104898 -990.851422573274
NA 19_25105976 -990.811450491551
NA 19_25108018 -990.802877935653
NA 19_25121124 -990.83301284883
NA 19_25124172 -990.873123090449
NA 19_25127220 -990.93415292564
NA 19_25131012 -990.744271183667
NA 19_25164884 -990.432112040914
NA 19_25174425 -988.010887702355
NA 19_25179040 -988.029710636564
NA 19_25181248 -988.02925164884
NA 19_25183456 -988.029172616428
NA 19_25185664 -988.029463099394
NA 19_25213450 -988.030689806596
NA 19_25225757 -988.036425842932
NA 19_25234484 -987.992993825246
NA 19_25240804 -988.094500717504
NA 19_25246239 -988.163084900076
NA 19_25251673 -988.166394138818
NA 19_25257107 -988.169608856119
NA 19_25262541 -988.17357478279
NA 19_25267975 -988.179015058154
NA 19_25275395 -988.184647798882
NA 19_25334339 -988.189635109086
NA 19_25375580 -988.12143532851
NA 19_25376735 -988.195628626496
NA 19_25377890 -988.455484179776
NA 19_25430429 -988.507277445047
NA 19_25445245 -988.481257062892
NA 19_25460061 -988.471197853104
NA 19_25474762 -988.453616169439
NA 19_25487123 -988.529557019022
NA 19_25500518 -988.603587061141
NA 19_25532899 -989.058372195984
NA 19_25565280 -988.995415672776
NA 19_25588832 -988.917688896093
NA 19_25599495 -988.843087814719
NA 19_25603706 -988.797570754544
NA 19_25607918 -988.753841956987
NA 19_25612129 -989.046480656687
NA 19_25616341 -989.74273347731
NA 19_25620552 -990.275302879267
NA 19_25624763 -990.240105134582
NA 19_25628975 -990.41947789295
NA 19_25633186 -991.026640808108
NA 19_25666923 -991.180420628508
NA 19_25705655 -991.282931355836
NA 19_25717202 -991.481271310026
NA 19_25724298 -991.567076037064
NA 19_25725807 -991.652753201065
NA 19_25727315 -991.730687477076
NA 19_25728824 -991.767222848787
NA 19_25730332 -991.777072478955
NA 19_25731841 -991.784523990951
NA 19_25733349 -990.958715430311
NA 19_25735898 -987.981755457058
NA 19_25748084 -986.875511746292
NA 19_25768410 -986.889122099674
NA 19_26254994 -987.015763239745
NA 19_26266960 -986.950346825021
NA 19_26278925 -986.918797000711
NA 19_26290890 -986.889151709935
NA 19_26302855 -986.862218894921
NA 19_26319456 -986.855901282266
NA 19_26336053 -986.966686156679
NA 19_26358240 -987.08488892704
NA 19_26382916 -987.196209307335
NA 19_26407592 -987.301227523576
NA 19_26432269 -987.429482949951
NA 19_26456945 -988.012851368573
NA 19_26480897 -988.166214033369
NA 19_26493222 -988.310261443916
