value loglik
19_21835817 19_18147123 -789.547854642506
19_21835817 19_18147270 -789.51999901386
19_21835817 19_18147416 -789.493429265922
19_21835817 19_18170066 -789.468564139999
19_21835817 19_18210494 -789.460631888468
19_21835817 19_18211151 -789.453123829651
19_21835817 19_18211808 -789.446183873274
19_21835817 19_18224115 -789.335467543887
19_21835817 19_18226843 -789.176980366066
19_21835817 19_18229572 -788.894651378168
19_21835817 19_18232300 -788.636426902994
19_21835817 19_18235779 -788.417144239993
19_21835817 19_18244123 -788.301273299257
19_21835817 19_18252467 -788.194823186911
19_21835817 19_18275473 -788.376829147419
19_21835817 19_18288997 -788.657887029311
19_21835817 19_18302521 -788.734419542283
19_21835817 19_18316045 -788.810157010424
19_21835817 19_18333753 -788.880790967685
19_21835817 19_18357444 -788.869099651928
19_21835817 19_18363542 -788.837225802012
19_21835817 19_18369640 -788.801560917282
19_21835817 19_18375737 -788.346650799311
19_21835817 19_18381835 -787.817695451862
19_21835817 19_18387932 -787.230833801865
19_21835817 19_18660511 -787.245560456574
19_21835817 19_18668463 -787.343421291035
19_21835817 19_18676416 -787.431792820296
19_21835817 19_18975648 -787.962176224816
19_21835817 19_19274879 -788.073607120386
19_21835817 19_19305304 -788.384319302816
19_21835817 19_19335729 -788.512197838093
19_21835817 19_19461226 -788.444093459318
19_21835817 19_19464083 -788.36745400828
19_21835817 19_19466941 -788.289331815571
19_21835817 19_19537824 -788.210151000801
19_21835817 19_19548156 -788.130319430493
19_21835817 19_19558489 -788.050220728472
19_21835817 19_19870145 -788.061370242586
19_21835817 19_19874630 -788.050436762885
19_21835817 19_19879115 -788.04012400877
19_21835817 19_20125475 -788.021092861989
19_21835817 19_20137919 -788.002689668025
19_21835817 19_20150362 -787.987294900549
19_21835817 19_20302600 -787.993845076307
19_21835817 19_20303683 -788.014006152014
19_21835817 19_20304765 -788.029694828293
19_21835817 19_20626923 -788.005546966006
19_21835817 19_20633442 -788.116938000163
19_21835817 19_20639961 -788.281027866343
19_21835817 19_20756178 -788.429654142638
19_21835817 19_20775432 -788.547094964724
19_21835817 19_20794687 -788.480993014213
19_21835817 19_20796932 -788.420849166743
19_21835817 19_20798905 -788.36817028255
19_21835817 19_20801032 -788.324278840361
19_21835817 19_20803231 -788.290221563908
19_21835817 19_20805430 -788.266695106559
19_21835817 19_20807629 -788.254004022569
19_21835817 19_20902553 -788.097395441296
19_21835817 19_20998510 -788.095248432984
19_21835817 19_21094467 -788.139547256447
19_21835817 19_21182134 -788.103966976156
19_21835817 19_21270329 -788.119538508144
19_21835817 19_21326896 -788.220187543571
19_21835817 19_21332327 -788.220903657828
19_21835817 19_21336729 -788.221139530191
19_21835817 19_21341131 -788.220898493929
19_21835817 19_21345533 -788.220188465083
19_21835817 19_21349935 -788.219021504004
19_21835817 19_21356079 -788.222454939601
19_21835817 19_21515834 -788.276348596993
19_21835817 19_21518274 -788.312924201732
19_21835817 19_21520713 -788.012527969502
19_21835817 19_21523152 -787.634848162051
19_21835817 19_21533417 -787.24754733204
19_21835817 19_21545048 -786.866339908742
19_21835817 19_21727395 -786.664689304697
19_21835817 19_21740049 -786.55625286843
19_21835817 19_21752704 -786.446099806068
19_21835817 19_21835817 -786.376504675173
19_21835817 19_21840919 -786.622120492289
19_21835817 19_21846022 -786.61683776187
19_21835817 19_21936950 -786.616622511511
19_21835817 19_21970456 -786.726677434353
19_21835817 19_22003963 -786.84360028488
19_21835817 19_22156073 -786.875212978978
19_21835817 19_22172322 -786.852210836819
19_21835817 19_22187306 -786.82344958498
19_21835817 19_22191696 -786.789420577325
19_21835817 19_22195207 -786.754069587972
19_21835817 19_22198718 -786.730329760938
19_21835817 19_22202229 -786.711982142741
19_21835817 19_22205740 -786.69406502135
19_21835817 19_22209250 -786.676620988371
19_21835817 19_22212761 -786.659689577214
19_21835817 19_22216272 -786.643306579552
19_21835817 19_22219783 -786.627504842471
19_21835817 19_22223294 -786.612312962508
19_21835817 19_22226805 -786.59775595428
