value loglik
NA 19_18147123 -847.373499488561
NA 19_18147270 -847.280201250851
NA 19_18147416 -847.187383358624
NA 19_18170066 -847.095745410722
NA 19_18210494 -847.065212948607
NA 19_18211151 -847.035610849284
NA 19_18211808 -847.005993724827
NA 19_18224115 -847.067469704063
NA 19_18226843 -847.120355060905
NA 19_18229572 -847.086303823639
NA 19_18232300 -847.049456631202
NA 19_18235779 -847.007256685915
NA 19_18244123 -846.986878225317
NA 19_18252467 -846.972142078556
NA 19_18275473 -846.878813420462
NA 19_18288997 -847.057221698809
NA 19_18302521 -847.140233531298
NA 19_18316045 -847.216049879875
NA 19_18333753 -847.267462764222
NA 19_18357444 -847.291265553392
NA 19_18363542 -847.310110044507
NA 19_18369640 -847.321140383351
NA 19_18375737 -847.601301216966
NA 19_18381835 -847.630043778906
NA 19_18387932 -847.602367918784
NA 19_18660511 -847.545336834912
NA 19_18668463 -847.537513617867
NA 19_18676416 -847.984563403502
NA 19_18975648 -848.191968258625
NA 19_19274879 -848.255666152304
NA 19_19305304 -848.295711241814
NA 19_19335729 -848.285412491976
NA 19_19461226 -848.316959293301
NA 19_19464083 -848.355426697673
NA 19_19466941 -848.390597679455
NA 19_19537824 -848.422252424898
NA 19_19548156 -848.450182771285
NA 19_19558489 -848.474193048337
NA 19_19870145 -848.536434007064
NA 19_19874630 -848.520734815426
NA 19_19879115 -848.506450440493
NA 19_20125475 -848.525094211619
NA 19_20137919 -848.551605998608
NA 19_20150362 -848.57827058985
NA 19_20302600 -848.566393537589
NA 19_20303683 -848.546246268141
NA 19_20304765 -848.510710524903
NA 19_20626923 -848.403625915749
NA 19_20633442 -848.378219635782
NA 19_20639961 -848.408715238714
NA 19_20756178 -848.416678549889
NA 19_20775432 -848.382186197418
NA 19_20794687 -848.267678127307
NA 19_20796932 -848.13946088797
NA 19_20798905 -847.998903701478
NA 19_20801032 -847.847740426988
NA 19_20803231 -847.688007184717
NA 19_20805430 -847.521955618693
NA 19_20807629 -847.351941800172
NA 19_20902553 -847.021476953634
NA 19_20998510 -847.06107009168
NA 19_21094467 -846.895445233465
NA 19_21182134 -846.843274868752
NA 19_21270329 -846.85213812477
NA 19_21326896 -846.868936725466
NA 19_21332327 -846.886600600339
NA 19_21336729 -846.906095307493
NA 19_21341131 -846.927403883466
NA 19_21345533 -846.95049172612
NA 19_21349935 -846.975306576333
NA 19_21356079 -847.012825327003
NA 19_21515834 -846.869474976372
NA 19_21518274 -846.675205300382
NA 19_21520713 -846.496892717788
NA 19_21523152 -846.467670631615
NA 19_21533417 -846.440918929061
NA 19_21545048 -846.428259358283
NA 19_21727395 -846.442371311982
NA 19_21740049 -846.483027094537
NA 19_21752704 -846.551331496585
NA 19_21835817 -846.739304442192
NA 19_21840919 -846.760175513673
NA 19_21846022 -846.797782458507
NA 19_21936950 -846.799322989228
NA 19_21970456 -846.640169763423
NA 19_22003963 -846.46816670323
NA 19_22156073 -846.42231381723
NA 19_22172322 -846.459912753458
NA 19_22187306 -846.491607817027
NA 19_22191696 -846.516551603601
NA 19_22195207 -846.542266070033
NA 19_22198718 -846.573148574756
NA 19_22202229 -846.604909485578
NA 19_22205740 -846.635324950134
NA 19_22209250 -846.664224952735
NA 19_22212761 -846.691435118101
NA 19_22216272 -846.716780814652
NA 19_22219783 -846.740091694485
NA 19_22223294 -846.761202179154
NA 19_22226805 -846.779958362779
NA 19_22230316 -846.803863875985
NA 19_22233827 -846.861859198674
NA 19_22237338 -846.884199491288
NA 19_22240848 -846.823827306212
NA 19_22244457 -846.830342987731
NA 19_22264004 -846.828931779815
NA 19_22288023 -846.832099179417
NA 19_22294213 -846.836337937566
NA 19_22298836 -846.793822164891
NA 19_22303459 -846.745046972535
NA 19_22333838 -846.697823483012
NA 19_22382301 -846.652428909802
NA 19_22413259 -846.609040141541
NA 19_22419242 -846.567858613628
NA 19_22425226 -846.529364097314
NA 19_22431209 -846.493839074866
NA 19_22435586 -846.461360350581
NA 19_22436965 -846.432117936753
NA 19_22438344 -846.406468808139
NA 19_22439723 -846.384540704049
NA 19_22441102 -846.366416359621
NA 19_22442482 -846.352133945386
NA 19_22443861 -846.341688045321
NA 19_22445240 -846.335030134364
NA 19_22446619 -846.285232165334
NA 19_22447998 -846.252473398277
NA 19_22449377 -846.256072619387
NA 19_22450756 -846.259929847045
NA 19_22452135 -846.263801910042
NA 19_22453515 -846.268065880558
NA 19_22454894 -846.272715424627
NA 19_22456273 -846.277743248927
NA 19_22507525 -846.283101646055
NA 19_22560818 -846.286633230362
NA 19_22567436 -846.28602468698
NA 19_22570782 -846.285588917823
NA 19_22574128 -846.285379845948
NA 19_22577474 -846.285396667022
NA 19_22580820 -846.285756698351
NA 19_22584166 -846.28805581875
NA 19_22587512 -846.290566677166
NA 19_22590858 -846.293250925181
NA 19_22594203 -846.292199424459
NA 19_22597549 -846.293630430107
NA 19_22600895 -846.028483917727
NA 19_22604768 -846.04242016694
NA 19_22611929 -846.059074763486
NA 19_22615951 -846.075309102536
NA 19_22616579 -846.091812212462
NA 19_22617111 -846.108662779853
NA 19_22617643 -846.125760251367
NA 19_22618175 -846.090054873843
NA 19_22618707 -845.980828769858
NA 19_22619240 -845.870020068616
NA 19_22619772 -845.75928933365
NA 19_22620304 -845.664638331089
NA 19_22620537 -845.71882062602
NA 19_22620655 -845.771420173967
NA 19_22620774 -845.822181292685
NA 19_22621212 -845.776840231395
NA 19_22623056 -845.716506864071
NA 19_22625940 -845.657076809908
NA 19_22632448 -845.59909027898
NA 19_22638956 -845.543585406068
NA 19_22645464 -845.634447515197
NA 19_22651972 -845.745985068584
NA 19_22658480 -845.865775952548
NA 19_22692039 -845.990906759881
NA 19_22776340 -845.981120177896
NA 19_22788765 -846.109615247942
NA 19_22792288 -846.116164849933
NA 19_22794125 -846.122718931165
NA 19_22795963 -846.129277331737
NA 19_22797800 -846.135839969904
NA 19_22799638 -846.142406520596
NA 19_22858304 -846.15143443641
NA 19_22891650 -846.076026615588
NA 19_22894267 -845.992732812178
NA 19_22896884 -845.905506277488
NA 19_22899501 -845.8160424495
NA 19_22902118 -845.906931169806
NA 19_22904734 -845.873230936882
NA 19_22907351 -845.786201529635
NA 19_22909968 -845.69816866148
NA 19_22912585 -845.610250242401
NA 19_23342789 -845.469547665143
NA 19_23344991 -845.367645805675
NA 19_23347193 -845.25558150415
NA 19_23350338 -844.937868642037
NA 19_23359294 -844.726309384714
NA 19_23368249 -844.594308509935
NA 19_23376634 -844.465561439851
NA 19_23378430 -844.346192847362
NA 19_23380227 -844.301918003057
NA 19_23382024 -844.262536348965
NA 19_23383821 -844.228148821063
NA 19_23385618 -844.19879650084
NA 19_23868659 -844.203075387035
NA 19_23870233 -843.982727086251
NA 19_23871808 -843.732209547818
NA 19_23873382 -843.460909870523
NA 19_23874956 -843.179557472353
NA 19_23876530 -842.898873733864
NA 19_23917687 -842.644298063011
NA 19_23917752 -842.680194843131
NA 19_23917817 -842.732528105013
NA 19_23918175 -842.801236115824
NA 19_23925367 -842.846784398194
NA 19_23932559 -842.879296142652
NA 19_23988954 -842.916851112667
NA 19_23999542 -842.921031297131
NA 19_24010131 -842.909162396966
NA 19_24048529 -842.883746447389
NA 19_24058490 -842.903531911955
NA 19_24068452 -843.004609125914
NA 19_24078414 -843.145221222672
NA 19_24151901 -843.108644855487
NA 19_24152632 -843.065326384571
NA 19_24153364 -843.007065595963
NA 19_24154095 -842.927654345488
NA 19_24154826 -842.823817169211
NA 19_24155557 -842.695314243348
NA 19_24307454 -842.731968466281
NA 19_24332887 -842.71869356838
NA 19_24358320 -842.713272710226
NA 19_24382219 -842.803081372812
NA 19_24382803 -842.908013167591
NA 19_24383257 -843.02420395404
NA 19_24383620 -843.151155127615
NA 19_24383973 -843.288828086603
NA 19_24384325 -843.42995393409
NA 19_24384678 -843.561032539047
NA 19_24385081 -843.758028380501
NA 19_24386149 -844.011950869732
NA 19_24615398 -844.123204823012
NA 19_24623533 -844.296523005398
NA 19_24631669 -844.533929254523
NA 19_24646048 -844.691152146185
NA 19_24651380 -844.733644201446
NA 19_24655682 -844.771009863273
NA 19_24659983 -844.812816109526
NA 19_24661370 -844.837298288473
NA 19_24662705 -844.844442002228
NA 19_24664113 -844.823073357481
NA 19_24687303 -844.797292914026
NA 19_24729734 -844.786305771444
NA 19_24741223 -844.786299760619
NA 19_24745602 -844.756004647475
NA 19_24749981 -844.747638867626
NA 19_24754360 -844.747687362838
NA 19_24758506 -844.741270661504
NA 19_24762609 -844.732244336633
NA 19_24809264 -844.723409816102
NA 19_24874336 -844.71446810016
NA 19_24939407 -844.704930312041
NA 19_25004478 -844.695504695948
NA 19_25069550 -844.65707063634
