value loglik
19_41984459 19_18147123 -910.522877598061
19_41984459 19_18147270 -910.482663481845
19_41984459 19_18147416 -910.444980874681
19_41984459 19_18170066 -910.410182965332
19_41984459 19_18210494 -910.425676737722
19_41984459 19_18211151 -910.442734854541
19_41984459 19_18211808 -910.46023246538
19_41984459 19_18224115 -910.47510278078
19_41984459 19_18226843 -910.492623798792
19_41984459 19_18229572 -910.519359893209
19_41984459 19_18232300 -910.555588118907
19_41984459 19_18235779 -910.599673519835
19_41984459 19_18244123 -910.62624849926
19_41984459 19_18252467 -910.65043724885
19_41984459 19_18275473 -910.645102228271
19_41984459 19_18288997 -910.587333329342
19_41984459 19_18302521 -910.618875727775
19_41984459 19_18316045 -910.649880040266
19_41984459 19_18333753 -910.682871512729
19_41984459 19_18357444 -910.703332815195
19_41984459 19_18363542 -910.721645304144
19_41984459 19_18369640 -910.740149999357
19_41984459 19_18375737 -910.762674301856
19_41984459 19_18381835 -910.566790238538
19_41984459 19_18387932 -910.358840195945
19_41984459 19_18660511 -910.423793288925
19_41984459 19_18668463 -910.462882698634
19_41984459 19_18676416 -910.788341261173
19_41984459 19_18975648 -910.36388337342
19_41984459 19_19274879 -910.362354005435
19_41984459 19_19305304 -910.179512140159
19_41984459 19_19335729 -910.071327151222
19_41984459 19_19461226 -910.120869940926
19_41984459 19_19464083 -910.169058129109
19_41984459 19_19466941 -910.21412479095
19_41984459 19_19537824 -910.255795135165
19_41984459 19_19548156 -910.293855587915
19_41984459 19_19558489 -910.328154991002
19_41984459 19_19870145 -909.895126025368
19_41984459 19_19874630 -909.964074332733
19_41984459 19_19879115 -910.027819428325
19_41984459 19_20125475 -910.040846188052
19_41984459 19_20137919 -910.041621968659
19_41984459 19_20150362 -910.042109327299
19_41984459 19_20302600 -910.021586530378
19_41984459 19_20303683 -909.996845942336
19_41984459 19_20304765 -909.964395027891
19_41984459 19_20626923 -909.759201715099
19_41984459 19_20633442 -909.692732511587
19_41984459 19_20639961 -909.713305112748
19_41984459 19_20756178 -909.735836485535
19_41984459 19_20775432 -909.756316613983
19_41984459 19_20794687 -909.736355097411
19_41984459 19_20796932 -909.714171425943
19_41984459 19_20798905 -909.691160888915
19_41984459 19_20801032 -909.668930091102
