value loglik
NA 19_18147123 -968.330081036454
NA 19_18147270 -968.309668053155
NA 19_18147416 -968.289720882009
NA 19_18170066 -968.270235299265
NA 19_18210494 -968.29852036326
NA 19_18211151 -968.332437996547
NA 19_18211808 -968.370453361785
NA 19_18224115 -968.413076371153
NA 19_18226843 -968.47878949223
NA 19_18229572 -968.664156493708
NA 19_18232300 -968.837130601243
NA 19_18235779 -968.994067883833
NA 19_18244123 -969.020174788022
NA 19_18252467 -969.039350513438
NA 19_18275473 -969.032176458716
NA 19_18288997 -969.108131596766
NA 19_18302521 -969.139196065952
NA 19_18316045 -969.160704178868
NA 19_18333753 -969.149989052991
NA 19_18357444 -969.159648958083
NA 19_18363542 -969.174821120405
NA 19_18369640 -969.185587286757
NA 19_18375737 -969.041465422545
NA 19_18381835 -968.898851546023
NA 19_18387932 -968.811579361136
NA 19_18660511 -968.722121410749
NA 19_18668463 -968.623779080972
NA 19_18676416 -968.720884724504
NA 19_18975648 -969.376490476555
NA 19_19274879 -969.374191171302
NA 19_19305304 -969.400187232911
NA 19_19335729 -969.417789678334
NA 19_19461226 -969.396320514714
NA 19_19464083 -969.370110226009
NA 19_19466941 -969.343791830042
NA 19_19537824 -969.317517465582
NA 19_19548156 -969.291444804371
NA 19_19558489 -969.265729746924
NA 19_19870145 -968.719640255461
NA 19_19874630 -968.72855641539
NA 19_19879115 -968.737549797006
NA 19_20125475 -968.736489796251
NA 19_20137919 -968.742458152342
NA 19_20150362 -968.758561365944
NA 19_20302600 -968.677324859237
NA 19_20303683 -968.565307685884
NA 19_20304765 -968.466159801228
NA 19_20626923 -968.336612892364
NA 19_20633442 -968.271570243058
NA 19_20639961 -968.244013300743
NA 19_20756178 -968.065934800445
NA 19_20775432 -967.839542173309
NA 19_20794687 -967.596000326305
NA 19_20796932 -967.352936531932
NA 19_20798905 -967.11400714395
NA 19_20801032 -966.882895067572
NA 19_20803231 -966.663129762472
NA 19_20805430 -966.457923925398
NA 19_20807629 -966.270030156664
NA 19_20902553 -965.115267070473
NA 19_20998510 -964.864369189485
NA 19_21094467 -964.811020696565
NA 19_21182134 -964.836524135663
NA 19_21270329 -964.844179296945
NA 19_21326896 -964.862394456995
NA 19_21332327 -964.823331288836
NA 19_21336729 -964.782473598271
NA 19_21341131 -964.740260290659
NA 19_21345533 -964.6971455193
NA 19_21349935 -964.653582585154
NA 19_21356079 -964.452420302933
NA 19_21515834 -964.357657298547
NA 19_21518274 -964.346382543776
NA 19_21520713 -964.464842997934
NA 19_21523152 -964.630917957981
NA 19_21533417 -964.808224821879
NA 19_21545048 -964.98722498119
NA 19_21727395 -965.010283061026
NA 19_21740049 -964.946790755824
NA 19_21752704 -964.893918667139
NA 19_21835817 -964.941048397777
NA 19_21840919 -965.135792365292
NA 19_21846022 -965.188515194473
NA 19_21936950 -965.089517017321
NA 19_21970456 -965.028357008259
NA 19_22003963 -965.010658845976
NA 19_22156073 -964.956654143816
NA 19_22172322 -964.871381760331
NA 19_22187306 -964.794581550269
NA 19_22191696 -964.728885931204
NA 19_22195207 -964.665734247411
NA 19_22198718 -964.609349599329
NA 19_22202229 -964.55810879937
NA 19_22205740 -964.51083907767
NA 19_22209250 -964.467822766587
NA 19_22212761 -964.429283393005
NA 19_22216272 -964.395380157829
NA 19_22219783 -964.366206775665
NA 19_22223294 -964.341789512111
NA 19_22226805 -964.322090320382
NA 19_22230316 -964.305725391718
NA 19_22233827 -964.28647380831
NA 19_22237338 -964.217996528743
NA 19_22240848 -963.59123980336
NA 19_22244457 -963.292263252336
NA 19_22264004 -963.120246254404
NA 19_22288023 -963.063362551437
NA 19_22294213 -963.011765532505
NA 19_22298836 -962.964945316948
NA 19_22303459 -962.919852710398
NA 19_22333838 -962.875834611213
NA 19_22382301 -962.832930696622
NA 19_22413259 -962.790905932127
NA 19_22419242 -962.749665997053
NA 19_22425226 -962.709613732461
NA 19_22431209 -962.670226735565
NA 19_22435586 -962.631809991179
NA 19_22436965 -962.594250953622
NA 19_22438344 -962.558071194936
NA 19_22439723 -962.523269440675
NA 19_22441102 -962.489837334916
NA 19_22442482 -962.457763225857
NA 19_22443861 -962.42703165159
NA 19_22445240 -962.397623799529
NA 19_22446619 -962.303886364482
NA 19_22447998 -962.241562319333
NA 19_22449377 -962.229241207814
NA 19_22450756 -962.217051403186
NA 19_22452135 -962.205247218347
NA 19_22453515 -962.193476282739
NA 19_22454894 -962.181764850011
NA 19_22456273 -962.170138052265
NA 19_22507525 -962.158804498212
NA 19_22560818 -962.175169355851
NA 19_22567436 -962.253270859604
NA 19_22570782 -962.338504831001
NA 19_22574128 -962.430806256328
NA 19_22577474 -962.529971216054
NA 19_22580820 -962.630938140613
NA 19_22584166 -962.665872444043
NA 19_22587512 -962.702018143793
NA 19_22590858 -962.739265576691
NA 19_22594203 -962.778976897693
NA 19_22597549 -962.817324937001
NA 19_22600895 -962.637796358389
NA 19_22604768 -962.681521764021
NA 19_22611929 -962.742400175823
NA 19_22615951 -962.784544507672
NA 19_22616579 -962.827742453495
NA 19_22617111 -962.872112876209
NA 19_22617643 -962.917322415012
NA 19_22618175 -962.990365236967
NA 19_22618707 -963.089840010127
NA 19_22619240 -963.219793975026
NA 19_22619772 -963.369831042895
NA 19_22620304 -963.49018207245
NA 19_22620537 -963.236702418647
NA 19_22620655 -962.983559059469
NA 19_22620774 -962.733717407596
NA 19_22621212 -962.704713270415
NA 19_22623056 -962.710085983514
NA 19_22625940 -962.714121807757
NA 19_22632448 -962.716410898673
NA 19_22638956 -962.717229323539
NA 19_22645464 -962.867907995565
NA 19_22651972 -963.008908405803
NA 19_22658480 -963.134562252652
NA 19_22692039 -963.231305032183
NA 19_22776340 -962.412926061553
NA 19_22788765 -962.325669956655
NA 19_22792288 -962.327220157008
NA 19_22794125 -962.328782742409
NA 19_22795963 -962.330358054848
NA 19_22797800 -962.331947177412
NA 19_22799638 -962.333548605598
NA 19_22858304 -962.325482782767
NA 19_22891650 -962.238960648043
NA 19_22894267 -962.174964494224
NA 19_22896884 -962.13461179964
NA 19_22899501 -962.118385411584
NA 19_22902118 -962.997328417492
NA 19_22904734 -963.199483680645
NA 19_22907351 -963.195181039737
NA 19_22909968 -963.191419953616
NA 19_22912585 -963.1869255457
NA 19_23342789 -963.619774299133
NA 19_23344991 -963.421161434249
NA 19_23347193 -963.268826006803
NA 19_23350338 -963.349391169111
NA 19_23359294 -963.484293264609
NA 19_23368249 -963.588935242178
NA 19_23376634 -963.686090514431
NA 19_23378430 -963.745685672502
NA 19_23380227 -963.788763787451
NA 19_23382024 -963.844787217721
NA 19_23383821 -963.913594757069
NA 19_23385618 -963.994721960053
NA 19_23868659 -964.702368869735
NA 19_23870233 -964.372645821129
NA 19_23871808 -964.064481865091
NA 19_23873382 -963.784415090207
NA 19_23874956 -963.537793815479
NA 19_23876530 -963.328326261989
NA 19_23917687 -963.166032976392
NA 19_23917752 -963.164696818787
NA 19_23917817 -963.167075464688
NA 19_23918175 -963.173363740244
NA 19_23925367 -963.188392596539
NA 19_23932559 -963.207671211235
NA 19_23988954 -963.227368069581
NA 19_23999542 -963.22699971863
NA 19_24010131 -963.262694050941
NA 19_24048529 -963.310737923884
NA 19_24058490 -963.427080034671
NA 19_24068452 -963.802652393374
NA 19_24078414 -964.068368235206
NA 19_24151901 -964.052102490103
NA 19_24152632 -964.03539653864
NA 19_24153364 -964.017657309949
NA 19_24154095 -963.998598029241
NA 19_24154826 -963.978371183066
NA 19_24155557 -963.962313520008
NA 19_24307454 -963.900493891441
NA 19_24332887 -963.81737779861
NA 19_24358320 -963.828377082433
NA 19_24382219 -964.012776681283
NA 19_24382803 -964.185725224844
NA 19_24383257 -964.300936005855
NA 19_24383620 -964.324674607342
NA 19_24383973 -964.237581518128
NA 19_24384325 -964.077176836312
NA 19_24384678 -964.145498185608
NA 19_24385081 -964.261549688072
NA 19_24386149 -964.421016978536
NA 19_24615398 -964.157359305156
NA 19_24623533 -963.929995929926
NA 19_24631669 -963.803271715581
NA 19_24646048 -963.925204624156
NA 19_24651380 -964.064018961126
NA 19_24655682 -964.19813633661
NA 19_24659983 -963.479240018359
NA 19_24661370 -962.77430812043
NA 19_24662705 -962.158715176429
NA 19_24664113 -962.232759738089
NA 19_24687303 -962.308034895049
NA 19_24729734 -962.700341562335
NA 19_24741223 -963.505302272007
NA 19_24745602 -963.657321484339
NA 19_24749981 -963.694319099925
NA 19_24754360 -963.717547618256
NA 19_24758506 -963.739462703121
NA 19_24762609 -963.761245291013
NA 19_24809264 -963.783663637746
NA 19_24874336 -963.807601101268
NA 19_24939407 -963.834300022959
NA 19_25004478 -963.859888391717
NA 19_25069550 -963.863320506572
NA 19_25094384 -963.654314273909
NA 19_25099509 -963.400817316115
NA 19_25100587 -963.150530733936
NA 19_25101665 -962.912098301132
NA 19_25102743 -962.694758023604
NA 19_25103820 -962.50726697866
NA 19_25104898 -962.356806642553
NA 19_25105976 -962.248137579377
NA 19_25108018 -962.183197246827
NA 19_25121124 -962.191228270265
NA 19_25124172 -962.21884670103
NA 19_25127220 -962.225099289562
NA 19_25131012 -962.24348046056
NA 19_25164884 -961.954138530406
NA 19_25174425 -961.747906833677
NA 19_25179040 -961.769102188858
NA 19_25181248 -961.770418579048
NA 19_25183456 -961.772109225908
NA 19_25185664 -961.774166851084
NA 19_25213450 -961.775851717302
NA 19_25225757 -961.775846509459
NA 19_25234484 -961.776091810551
NA 19_25240804 -961.740752695836
NA 19_25246239 -961.79636868064
NA 19_25251673 -961.938283621466
NA 19_25257107 -962.084112257164
NA 19_25262541 -962.176300046924
