value loglik
NA 19_18147123 -971.12160519288
NA 19_18147270 -971.203520834272
NA 19_18147416 -971.287232219643
NA 19_18170066 -971.371720365846
NA 19_18210494 -971.371672951207
NA 19_18211151 -971.374162223309
NA 19_18211808 -971.381107752725
NA 19_18224115 -971.411282674657
NA 19_18226843 -971.455928041173
NA 19_18229572 -971.548118720091
NA 19_18232300 -971.651973936361
NA 19_18235779 -971.76346686764
NA 19_18244123 -971.817819606463
NA 19_18252467 -971.869748156968
NA 19_18275473 -972.256668596454
NA 19_18288997 -972.51321897092
NA 19_18302521 -972.558382379491
NA 19_18316045 -972.584568676451
NA 19_18333753 -972.575602647608
NA 19_18357444 -972.579200488289
NA 19_18363542 -972.585540710015
NA 19_18369640 -972.590566219772
NA 19_18375737 -972.537551705926
NA 19_18381835 -972.474222559585
NA 19_18387932 -972.386067362276
NA 19_18660511 -972.282397089961
NA 19_18668463 -972.229217200683
NA 19_18676416 -972.398866867119
NA 19_18975648 -972.4583369717
NA 19_19274879 -972.362600550149
NA 19_19305304 -972.262617015402
NA 19_19335729 -972.300761042908
NA 19_19461226 -972.285347947117
NA 19_19464083 -972.270605477004
NA 19_19466941 -972.259559673753
NA 19_19537824 -972.252213476834
NA 19_19548156 -972.248503555201
NA 19_19558489 -972.248304374074
NA 19_19870145 -972.20051321653
NA 19_19874630 -972.210333973831
NA 19_19879115 -972.222714866675
NA 19_20125475 -972.235298550229
NA 19_20137919 -972.228100504073
NA 19_20150362 -972.199286600442
NA 19_20302600 -972.261145946688
NA 19_20303683 -972.353251978561
NA 19_20304765 -972.459003640292
NA 19_20626923 -972.432345327982
NA 19_20633442 -972.435916486048
NA 19_20639961 -972.473428584047
NA 19_20756178 -972.519238374427
NA 19_20775432 -972.57030754029
NA 19_20794687 -972.509052225953
NA 19_20796932 -972.449079919055
NA 19_20798905 -972.391978784505
NA 19_20801032 -972.339435763488
NA 19_20803231 -972.293106160827
NA 19_20805430 -972.254480113671
NA 19_20807629 -972.224747342077
NA 19_20902553 -971.170686614536
NA 19_20998510 -971.064694428213
NA 19_21094467 -970.93141773288
NA 19_21182134 -970.832148628757
NA 19_21270329 -970.667564442759
NA 19_21326896 -970.290176470262
NA 19_21332327 -970.148628232934
NA 19_21336729 -970.008681963453
NA 19_21341131 -969.87206326867
NA 19_21345533 -969.740354479118
NA 19_21349935 -969.614943725853
NA 19_21356079 -969.540832194365
NA 19_21515834 -969.270065681763
NA 19_21518274 -968.989808536129
NA 19_21520713 -968.773467261326
NA 19_21523152 -968.771349122613
NA 19_21533417 -968.775858295892
NA 19_21545048 -968.768610100403
NA 19_21727395 -968.761859704321
NA 19_21740049 -968.765575530949
NA 19_21752704 -968.767164708996
NA 19_21835817 -968.826664017002
NA 19_21840919 -969.097904636641
NA 19_21846022 -969.147647557991
NA 19_21936950 -969.204270061831
NA 19_21970456 -969.354734816689
NA 19_22003963 -969.511121673084
NA 19_22156073 -969.601452992107
NA 19_22172322 -969.641852895391
NA 19_22187306 -969.650115981441
NA 19_22191696 -969.620693825167
NA 19_22195207 -969.595342402289
NA 19_22198718 -969.562768572891
NA 19_22202229 -969.528918416175
NA 19_22205740 -969.498454833616
NA 19_22209250 -969.471508778757
NA 19_22212761 -969.448173944802
NA 19_22216272 -969.428504957973
NA 19_22219783 -969.41251599287
NA 19_22223294 -969.400185476345
NA 19_22226805 -969.391455176123
