value loglik
NA 19_18147123 -881.274933274285
NA 19_18147270 -881.589709565453
NA 19_18147416 -881.909192182492
NA 19_18170066 -882.229898709131
NA 19_18210494 -882.200656929896
NA 19_18211151 -882.158399771693
NA 19_18211808 -882.1111689892
NA 19_18224115 -882.112900078107
NA 19_18226843 -882.065589997723
NA 19_18229572 -881.752165366096
NA 19_18232300 -881.459002894344
NA 19_18235779 -881.191080780579
NA 19_18244123 -881.143483708733
NA 19_18252467 -881.116705789533
NA 19_18275473 -880.841139152381
NA 19_18288997 -880.990900879272
NA 19_18302521 -880.904490176942
NA 19_18316045 -880.773902865029
NA 19_18333753 -880.50978362744
NA 19_18357444 -880.322530806603
NA 19_18363542 -880.17545674565
NA 19_18369640 -880.048253447068
NA 19_18375737 -879.964327458541
NA 19_18381835 -880.064537459115
NA 19_18387932 -880.161611071815
NA 19_18660511 -880.111904909822
NA 19_18668463 -880.11208716084
NA 19_18676416 -879.273471482906
NA 19_18975648 -879.87633252375
NA 19_19274879 -879.769492897971
NA 19_19305304 -879.691934199151
NA 19_19335729 -879.702351965004
NA 19_19461226 -879.819253360714
NA 19_19464083 -879.955938563144
NA 19_19466941 -880.100995262397
NA 19_19537824 -880.253933261721
NA 19_19548156 -880.414131080129
NA 19_19558489 -880.58084409598
NA 19_19870145 -880.507943421457
NA 19_19874630 -880.407982739031
NA 19_19879115 -880.292670246724
NA 19_20125475 -880.212711714647
NA 19_20137919 -880.147116071435
NA 19_20150362 -880.084318513507
NA 19_20302600 -880.129879282127
NA 19_20303683 -880.198382831142
NA 19_20304765 -880.296491976012
NA 19_20626923 -879.734791315078
NA 19_20633442 -879.597565872338
NA 19_20639961 -879.72923171765
NA 19_20756178 -879.889121984717
NA 19_20775432 -880.068328009339
NA 19_20794687 -879.968914567332
NA 19_20796932 -879.922611558111
NA 19_20798905 -879.93370800422
NA 19_20801032 -880.00418694766
NA 19_20803231 -880.133467665995
NA 19_20805430 -880.318402819528
NA 19_20807629 -880.553548700977
NA 19_20902553 -880.455581976708
NA 19_20998510 -880.400482341329
NA 19_21094467 -879.490087677111
NA 19_21182134 -879.495603766295
NA 19_21270329 -879.445951942323
NA 19_21326896 -879.355727564728
NA 19_21332327 -879.2655205868
NA 19_21336729 -879.173573183916
NA 19_21341131 -879.080207637713
NA 19_21345533 -878.985743260809
NA 19_21349935 -878.890495987789
NA 19_21356079 -879.296669976749
NA 19_21515834 -879.61254839796
NA 19_21518274 -879.724665865277
NA 19_21520713 -879.845132215818
NA 19_21523152 -879.892760883962
NA 19_21533417 -879.940046113023
NA 19_21545048 -879.95699457917
NA 19_21727395 -879.852209038256
NA 19_21740049 -879.699659317728
NA 19_21752704 -879.545488711667
NA 19_21835817 -879.453297931808
NA 19_21840919 -879.343575517552
NA 19_21846022 -879.392925908401
NA 19_21936950 -879.360324616696
NA 19_21970456 -879.159782992434
NA 19_22003963 -878.965602368858
NA 19_22156073 -878.95578211967
NA 19_22172322 -879.050686682071
NA 19_22187306 -879.148254679139
NA 19_22191696 -879.25170803129
NA 19_22195207 -879.364566819929
NA 19_22198718 -879.470418830064
NA 19_22202229 -879.578146134111
NA 19_22205740 -879.693855385689
NA 19_22209250 -879.817056367964
NA 19_22212761 -879.947190424929
NA 19_22216272 -880.083631615126
NA 19_22219783 -880.225702123469
NA 19_22223294 -880.372694635749
NA 19_22226805 -880.523875037946
NA 19_22230316 -880.659139707365
NA 19_22233827 -880.703962623083
NA 19_22237338 -880.612355969802
NA 19_22240848 -878.625441663965
NA 19_22244457 -878.337876052057
NA 19_22264004 -878.146735620333
NA 19_22288023 -878.130651031568
NA 19_22294213 -878.130642051091
NA 19_22298836 -878.125058273858
NA 19_22303459 -878.119722497502
NA 19_22333838 -878.11590583681
NA 19_22382301 -878.113762072688
NA 19_22413259 -878.113340037176
NA 19_22419242 -878.114721836124
NA 19_22425226 -878.117622050243
NA 19_22431209 -878.122285525788
NA 19_22435586 -878.12914594306
NA 19_22436965 -878.138359482517
NA 19_22438344 -878.149009243849
NA 19_22439723 -878.161055678179
NA 19_22441102 -878.174446313466
NA 19_22442482 -878.189118607737
NA 19_22443861 -878.205002653555
NA 19_22445240 -878.222015873293
NA 19_22446619 -878.372639127462
NA 19_22447998 -878.497526837063
NA 19_22449377 -878.505615078255
NA 19_22450756 -878.513142187837
NA 19_22452135 -878.51861349048
NA 19_22453515 -878.524362882896
NA 19_22454894 -878.53038264142
NA 19_22456273 -878.536660247167
NA 19_22507525 -878.542920431153
NA 19_22560818 -878.546396481576
NA 19_22567436 -878.546497870306
NA 19_22570782 -878.550809444458
NA 19_22574128 -878.559695778061
NA 19_22577474 -878.573198059193
NA 19_22580820 -878.586718932407
NA 19_22584166 -878.535533474855
NA 19_22587512 -878.484352405673
NA 19_22590858 -878.433192461727
NA 19_22594203 -878.411300251231
NA 19_22597549 -878.427033369669
NA 19_22600895 -878.25904305196
NA 19_22604768 -878.404555131934
NA 19_22611929 -878.427706719128
NA 19_22615951 -878.359168672189
NA 19_22616579 -878.291877927698
NA 19_22617111 -878.226205949448
NA 19_22617643 -878.162350472354
NA 19_22618175 -878.04151353471
NA 19_22618707 -877.839222502908
NA 19_22619240 -877.641281423639
NA 19_22619772 -877.448771393903
NA 19_22620304 -877.253799678147
NA 19_22620537 -876.974848973779
NA 19_22620655 -876.702449187102
NA 19_22620774 -876.438851087862
NA 19_22621212 -876.356180452076
NA 19_22623056 -876.30353310127
NA 19_22625940 -876.25269852682
NA 19_22632448 -876.203651124587
NA 19_22638956 -876.154275814984
NA 19_22645464 -875.577415859743
NA 19_22651972 -875.031858443585
NA 19_22658480 -874.555880181641
NA 19_22692039 -874.173282835918
NA 19_22776340 -874.453795097124
NA 19_22788765 -874.500083113552
NA 19_22792288 -874.506084734326
NA 19_22794125 -874.512137457474
NA 19_22795963 -874.518243976362
NA 19_22797800 -874.524402565179
NA 19_22799638 -874.530612096998
NA 19_22858304 -874.540007858362
NA 19_22891650 -874.532196218974
NA 19_22894267 -874.519435536812
NA 19_22896884 -874.5064111568
NA 19_22899501 -874.494903377512
NA 19_22902118 -875.985102464269
NA 19_22904734 -876.062337598301
NA 19_22907351 -875.879520957778
NA 19_22909968 -875.702270827075
NA 19_22912585 -875.537295532126
NA 19_23342789 -875.040488965647
NA 19_23344991 -874.428499754031
NA 19_23347193 -873.874023902898
NA 19_23350338 -874.016798152324
NA 19_23359294 -874.241470833776
NA 19_23368249 -874.290926399319
NA 19_23376634 -874.331834278396
NA 19_23378430 -874.333504006951
NA 19_23380227 -874.187019725255
NA 19_23382024 -874.070185946426
NA 19_23383821 -873.984690957611
NA 19_23385618 -873.931266482105
NA 19_23868659 -874.20056542848
NA 19_23870233 -874.14159503134
NA 19_23871808 -874.160240745902
NA 19_23873382 -874.257264152192
NA 19_23874956 -874.428883236704
NA 19_23876530 -874.667083286721
NA 19_23917687 -874.954528687874
NA 19_23917752 -875.164425753227
NA 19_23917817 -875.377722982724
NA 19_23918175 -875.590452543142
NA 19_23925367 -875.785766158566
NA 19_23932559 -875.97329949
NA 19_23988954 -876.155204394247
NA 19_23999542 -876.161317475048
NA 19_24010131 -876.229434029208
NA 19_24048529 -876.433363502656
NA 19_24058490 -876.510895685458
NA 19_24068452 -876.655870737266
NA 19_24078414 -876.858137726726
NA 19_24151901 -877.229334333346
NA 19_24152632 -877.606012626726
NA 19_24153364 -877.96751126048
NA 19_24154095 -878.296390128455
NA 19_24154826 -878.580723267153
NA 19_24155557 -878.809262593065
NA 19_24307454 -878.775585144652
NA 19_24332887 -878.778132805063
NA 19_24358320 -878.774816333603
