marker1 marker2 loglik
1 19_18147123 19_25246239 -890.671164822775
2 19_18147270 19_25246239 -890.61450263164
3 19_18147416 19_25246239 -890.556022262545
4 19_18170066 19_25246239 -890.495889524868
5 19_18210494 19_25246239 -890.458046330794
6 19_18211151 19_25246239 -890.417043573331
7 19_18211808 19_25246239 -890.372528217481
8 19_18224115 19_25246239 -890.332996280865
9 19_18226843 19_25246239 -890.269800012571
10 19_18229572 19_25246239 -890.168249755173
11 19_18232300 19_25246239 -890.039963945976
12 19_18235779 19_25246239 -889.892304081768
13 19_18244123 19_25246239 -889.844431697688
14 19_18252467 19_25246239 -889.808236260143
15 19_18275473 19_25246239 -889.456812332385
16 19_18288997 19_25246239 -889.191348793246
17 19_18302521 19_25246239 -889.167682538715
18 19_18316045 19_25246239 -889.151945678211
19 19_18333753 19_25246239 -889.150469885254
20 19_18357444 19_25246239 -889.153337619384
21 19_18363542 19_25246239 -889.16297618238
22 19_18369640 19_25246239 -889.179240393407
23 19_18375737 19_25246239 -888.929348016046
24 19_18381835 19_25246239 -888.468339473943
25 19_18387932 19_25246239 -887.880534611748
26 19_18660511 19_25246239 -888.012177341868
27 19_18668463 19_25246239 -888.315315100776
28 19_18676416 19_25246239 -888.048079323852
29 19_18975648 19_25246239 -888.745089929809
30 19_19274879 19_25246239 -888.972363834243
31 19_19305304 19_25246239 -889.135266542755
32 19_19335729 19_25246239 -889.070219244942
33 19_19461226 19_25246239 -889.070518432247
34 19_19464083 19_25246239 -889.063746046478
35 19_19466941 19_25246239 -889.055077761948
36 19_19537824 19_25246239 -889.04455836992
37 19_19548156 19_25246239 -889.032263993048
38 19_19558489 19_25246239 -889.018292578117
39 19_19870145 19_25246239 -889.059920312637
40 19_19874630 19_25246239 -889.047918855512
41 19_19879115 19_25246239 -889.033411435476
42 19_20125475 19_25246239 -889.025992656967
43 19_20137919 19_25246239 -889.01880959621
44 19_20150362 19_25246239 -889.009151505567
45 19_20302600 19_25246239 -889.06258645827
46 19_20303683 19_25246239 -889.136704004477
47 19_20304765 19_25246239 -889.241875764731
48 19_20626923 19_25246239 -889.327011672449
49 19_20633442 19_25246239 -889.377187159798
50 19_20639961 19_25246239 -889.410505769366
51 19_20756178 19_25246239 -889.445939775031
52 19_20775432 19_25246239 -889.479907213967
53 19_20794687 19_25246239 -889.558280772161
54 19_20796932 19_25246239 -889.636668191828
55 19_20798905 19_25246239 -889.71353328908
56 19_20801032 19_25246239 -889.787258842993
57 19_20803231 19_25246239 -889.856196877176
58 19_20805430 19_25246239 -889.918733395266
59 19_20807629 19_25246239 -889.973363655731
60 19_20902553 19_25246239 -890.022645402132
61 19_20998510 19_25246239 -890.021814457518
62 19_21094467 19_25246239 -889.58890055207
63 19_21182134 19_25246239 -889.321152077093
64 19_21270329 19_25246239 -889.287721136716
65 19_21326896 19_25246239 -889.261226563794
66 19_21332327 19_25246239 -889.257751760726
67 19_21336729 19_25246239 -889.254456333361
68 19_21341131 19_25246239 -889.251262486298
69 19_21345533 19_25246239 -889.248089505149
70 19_21349935 19_25246239 -889.244858259007
71 19_21356079 19_25246239 -889.213786611683
72 19_21515834 19_25246239 -889.487251503339
73 19_21518274 19_25246239 -889.699798770222
74 19_21520713 19_25246239 -889.789010475508
75 19_21523152 19_25246239 -889.799786266066
76 19_21533417 19_25246239 -889.813900194552
77 19_21545048 19_25246239 -889.826593386487
78 19_21727395 19_25246239 -889.809676067527
79 19_21740049 19_25246239 -889.776027400949
80 19_21752704 19_25246239 -889.763870934211
81 19_21835817 19_25246239 -889.759273360698
82 19_21840919 19_25246239 -889.689690429419
83 19_21846022 19_25246239 -889.724702847624
84 19_21936950 19_25246239 -889.728967620695
85 19_21970456 19_25246239 -889.767359208742
86 19_22003963 19_25246239 -889.796559710255
87 19_22156073 19_25246239 -889.801183419163
88 19_22172322 19_25246239 -889.813137364266
89 19_22187306 19_25246239 -889.824663274315
90 19_22191696 19_25246239 -889.836451001976
91 19_22195207 19_25246239 -889.848867896421
92 19_22198718 19_25246239 -889.855676352723
93 19_22202229 19_25246239 -889.860043489339
94 19_22205740 19_25246239 -889.864169388665
95 19_22209250 19_25246239 -889.86784397006
96 19_22212761 19_25246239 -889.870861864179
97 19_22216272 19_25246239 -889.87302946817
98 19_22219783 19_25246239 -889.874173862297
99 19_22223294 19_25246239 -889.87413971157
100 19_22226805 19_25246239 -889.872802865581
101 19_22230316 19_25246239 -889.868087372404
102 19_22233827 19_25246239 -889.85376686892
103 19_22237338 19_25246239 -889.721461027725
104 19_22240848 19_25246239 -889.221610248953
105 19_22244457 19_25246239 -889.106755277794
106 19_22264004 19_25246239 -889.068390693686
107 19_22288023 19_25246239 -889.070983849377
108 19_22294213 19_25246239 -889.078224971391
109 19_22298836 19_25246239 -889.097181345856
110 19_22303459 19_25246239 -889.118724036462
111 19_22333838 19_25246239 -889.141049163298
112 19_22382301 19_25246239 -889.164079972799
113 19_22413259 19_25246239 -889.187850067388
114 19_22419242 19_25246239 -889.212317629083
115 19_22425226 19_25246239 -889.237225776436
116 19_22431209 19_25246239 -889.262770539717
117 19_22435586 19_25246239 -889.288637990162
118 19_22436965 19_25246239 -889.314758802578
119 19_22438344 19_25246239 -889.340793184756
120 19_22439723 19_25246239 -889.36662055663
121 19_22441102 19_25246239 -889.392121356313
122 19_22442482 19_25246239 -889.417185126197
123 19_22443861 19_25246239 -889.441709039673
124 19_22445240 19_25246239 -889.465596644647
125 19_22446619 19_25246239 -889.528067996235
126 19_22447998 19_25246239 -889.588269006007
127 19_22449377 19_25246239 -889.585211115022
128 19_22450756 19_25246239 -889.581765449132
129 19_22452135 19_25246239 -889.577593764806
130 19_22453515 19_25246239 -889.57323666744
131 19_22454894 19_25246239 -889.568700526281
132 19_22456273 19_25246239 -889.5639906881
133 19_22507525 19_25246239 -889.558997747677
134 19_22560818 19_25246239 -889.540714077462
135 19_22567436 19_25246239 -889.497653086287
136 19_22570782 19_25246239 -889.455971308639
137 19_22574128 19_25246239 -889.415743629548
138 19_22577474 19_25246239 -889.377030910789
139 19_22580820 19_25246239 -889.341625525899
