marker1 marker2 loglik
1 19_18147123 19_25768410 -944.469299462304
2 19_18147270 19_25768410 -944.529262726894
3 19_18147416 19_25768410 -944.586091625717
4 19_18170066 19_25768410 -944.638865888284
5 19_18210494 19_25768410 -944.604827043765
6 19_18211151 19_25768410 -944.565296387593
7 19_18211808 19_25768410 -944.522875928042
8 19_18224115 19_25768410 -944.475152203858
9 19_18226843 19_25768410 -944.425867066583
10 19_18229572 19_25768410 -944.382285391184
11 19_18232300 19_25768410 -944.337083543604
12 19_18235779 19_25768410 -944.290607132448
13 19_18244123 19_25768410 -944.23215369612
14 19_18252467 19_25768410 -944.171013329567
15 19_18275473 19_25768410 -944.064169985073
16 19_18288997 19_25768410 -944.000677602299
17 19_18302521 19_25768410 -943.909880551555
18 19_18316045 19_25768410 -943.789059613885
19 19_18333753 19_25768410 -943.605531978436
20 19_18357444 19_25768410 -943.526347584314
21 19_18363542 19_25768410 -943.472803330603
22 19_18369640 19_25768410 -943.422572690548
23 19_18375737 19_25768410 -944.196147761594
24 19_18381835 19_25768410 -944.672653680254
25 19_18387932 19_25768410 -944.635226821485
26 19_18660511 19_25768410 -944.471923925593
27 19_18668463 19_25768410 -944.293872144856
28 19_18676416 19_25768410 -944.297005690624
29 19_18975648 19_25768410 -943.944477661692
30 19_19274879 19_25768410 -944.023275115449
31 19_19305304 19_25768410 -944.236135262003
32 19_19335729 19_25768410 -944.26663756391
33 19_19461226 19_25768410 -944.197820219975
34 19_19464083 19_25768410 -944.121448131476
35 19_19466941 19_25768410 -944.042258015055
36 19_19537824 19_25768410 -943.960675340576
37 19_19548156 19_25768410 -943.877161269698
38 19_19558489 19_25768410 -943.792194656249
39 19_19870145 19_25768410 -943.74518766771
40 19_19874630 19_25768410 -943.718905638428
41 19_19879115 19_25768410 -943.694929568038
42 19_20125475 19_25768410 -943.612702830504
43 19_20137919 19_25768410 -943.503493710393
44 19_20150362 19_25768410 -943.382846608211
45 19_20302600 19_25768410 -943.320255911599
