marker1 marker2 loglik
1 19_18147123 19_25246239 -812.593008610645
2 19_18147270 19_25246239 -812.595559597502
3 19_18147416 19_25246239 -812.607947513598
4 19_18170066 19_25246239 -812.630012507019
5 19_18210494 19_25246239 -812.571311126107
6 19_18211151 19_25246239 -812.521611680975
7 19_18211808 19_25246239 -812.484469965058
8 19_18224115 19_25246239 -812.587097797694
9 19_18226843 19_25246239 -812.707065891969
10 19_18229572 19_25246239 -812.867303443078
11 19_18232300 19_25246239 -813.023754708219
12 19_18235779 19_25246239 -813.169780993332
13 19_18244123 19_25246239 -813.102628152289
14 19_18252467 19_25246239 -813.030949841424
15 19_18275473 19_25246239 -812.573597982082
16 19_18288997 19_25246239 -812.309936814262
17 19_18302521 19_25246239 -812.378035942802
18 19_18316045 19_25246239 -812.427061510479
19 19_18333753 19_25246239 -812.39832756218
20 19_18357444 19_25246239 -812.351701015876
21 19_18363542 19_25246239 -812.29500637626
22 19_18369640 19_25246239 -812.24051059657
23 19_18375737 19_25246239 -812.167632869635
24 19_18381835 19_25246239 -812.145874044475
25 19_18387932 19_25246239 -812.089296518046
26 19_18660511 19_25246239 -812.206177252693
27 19_18668463 19_25246239 -812.406997991903
28 19_18676416 19_25246239 -812.640518498788
29 19_18975648 19_25246239 -810.770543985321
30 19_19274879 19_25246239 -810.792026994875
31 19_19305304 19_25246239 -810.544939747518
32 19_19335729 19_25246239 -810.304048158357
33 19_19461226 19_25246239 -810.287217690827
34 19_19464083 19_25246239 -810.284331983809
35 19_19466941 19_25246239 -810.284407315795
36 19_19537824 19_25246239 -810.287326535167
37 19_19548156 19_25246239 -810.293003680492
38 19_19558489 19_25246239 -810.30137843236
39 19_19870145 19_25246239 -810.22983079178
40 19_19874630 19_25246239 -810.081048704566
41 19_19879115 19_25246239 -809.932858350084
42 19_20125475 19_25246239 -809.91683013953
43 19_20137919 19_25246239 -809.93285453448
44 19_20150362 19_25246239 -809.949343985215
45 19_20302600 19_25246239 -809.996397885073
46 19_20303683 19_25246239 -810.060713895364
47 19_20304765 19_25246239 -810.078067592878
48 19_20626923 19_25246239 -809.811193479846
49 19_20633442 19_25246239 -809.289930305858
50 19_20639961 19_25246239 -808.703704037742
51 19_20756178 19_25246239 -808.214133004316
52 19_20775432 19_25246239 -807.892409962548
