marker1 marker2 loglik
1 19_18147123 19_31814623 -979.993184876285
2 19_18147270 19_31814623 -980.068238155099
3 19_18147416 19_31814623 -980.152334690427
4 19_18170066 19_31814623 -980.244841957233
5 19_18210494 19_31814623 -980.266278681898
6 19_18211151 19_31814623 -980.286171763397
7 19_18211808 19_31814623 -980.305894085998
8 19_18224115 19_31814623 -980.302925443249
9 19_18226843 19_31814623 -980.285683534566
10 19_18229572 19_31814623 -980.209681347744
11 19_18232300 19_31814623 -980.16448610764
12 19_18235779 19_31814623 -980.150676370493
13 19_18244123 19_31814623 -980.243656737453
14 19_18252467 19_31814623 -980.351925047994
15 19_18275473 19_31814623 -980.503329344349
16 19_18288997 19_31814623 -980.505788297393
17 19_18302521 19_31814623 -980.453959175795
18 19_18316045 19_31814623 -980.416642004551
19 19_18333753 19_31814623 -980.396995701146
20 19_18357444 19_31814623 -980.417855653387
21 19_18363542 19_31814623 -980.450858214683
22 19_18369640 19_31814623 -980.489658726629
23 19_18375737 19_31814623 -980.775390398617
24 19_18381835 19_31814623 -981.165786235645
25 19_18387932 19_31814623 -981.467997781736
26 19_18660511 19_31814623 -981.207104061925
27 19_18668463 19_31814623 -980.911595121451
28 19_18676416 19_31814623 -980.87625645227
29 19_18975648 19_31814623 -980.244759882
30 19_19274879 19_31814623 -980.258822011941
31 19_19305304 19_31814623 -980.27743652254
32 19_19335729 19_31814623 -980.303531166634
33 19_19461226 19_31814623 -980.341046361011
34 19_19464083 19_31814623 -980.379648034062
35 19_19466941 19_31814623 -980.417941439095
36 19_19537824 19_31814623 -980.45588643542
37 19_19548156 19_31814623 -980.493459727571
38 19_19558489 19_31814623 -980.530652814434
39 19_19870145 19_31814623 -981.009352391487
40 19_19874630 19_31814623 -981.007911962533
41 19_19879115 19_31814623 -981.006562480065
42 19_20125475 19_31814623 -980.946604073476
43 19_20137919 19_31814623 -980.871401780905
44 19_20150362 19_31814623 -980.796480627208
45 19_20302600 19_31814623 -980.703429042574
46 19_20303683 19_31814623 -980.602966971649
47 19_20304765 19_31814623 -980.521129562182
48 19_20626923 19_31814623 -980.817001338305
49 19_20633442 19_31814623 -980.910256029265
