marker1 marker2 loglik
1 19_18147123 19_37259427 -1001.15903657228
2 19_18147270 19_37259427 -1001.07220404488
3 19_18147416 19_37259427 -1000.98322965141
4 19_18170066 19_37259427 -1000.89278864207
5 19_18210494 19_37259427 -1000.91342284775
6 19_18211151 19_37259427 -1000.93948754732
7 19_18211808 19_37259427 -1000.96788219647
8 19_18224115 19_37259427 -1001.00431749462
9 19_18226843 19_37259427 -1001.07366616283
10 19_18229572 19_37259427 -1001.33936707117
11 19_18232300 19_37259427 -1001.59322075582
12 19_18235779 19_37259427 -1001.82569594444
13 19_18244123 19_37259427 -1001.89400742057
14 19_18252467 19_37259427 -1001.95932299647
15 19_18275473 19_37259427 -1002.09166866717
16 19_18288997 19_37259427 -1002.06324875288
17 19_18302521 19_37259427 -1002.07423656844
18 19_18316045 19_37259427 -1002.05627790021
19 19_18333753 19_37259427 -1001.957365594
20 19_18357444 19_37259427 -1001.83658396168
21 19_18363542 19_37259427 -1001.71245547472
22 19_18369640 19_37259427 -1001.59015127212
23 19_18375737 19_37259427 -1001.55626431409
24 19_18381835 19_37259427 -1001.47637376332
25 19_18387932 19_37259427 -1001.4364457169
26 19_18660511 19_37259427 -1001.92432755867
27 19_18668463 19_37259427 -1002.46370617671
28 19_18676416 19_37259427 -1003.11704205455
29 19_18975648 19_37259427 -1003.24659585137
30 19_19274879 19_37259427 -1002.98458733044
31 19_19305304 19_37259427 -1002.23728430831
32 19_19335729 19_37259427 -1001.92960075612
33 19_19461226 19_37259427 -1001.99126861886
34 19_19464083 19_37259427 -1002.05065231172
35 19_19466941 19_37259427 -1002.11039098526
36 19_19537824 19_37259427 -1002.16974066735
37 19_19548156 19_37259427 -1002.22798022756
38 19_19558489 19_37259427 -1002.28443410864
39 19_19870145 19_37259427 -1002.31894383915
40 19_19874630 19_37259427 -1002.3317482113
41 19_19879115 19_37259427 -1002.35662191499
42 19_20125475 19_37259427 -1002.34848201877
43 19_20137919 19_37259427 -1002.33376667898
44 19_20150362 19_37259427 -1002.32489691672
45 19_20302600 19_37259427 -1002.34282077845
46 19_20303683 19_37259427 -1002.3677712774
47 19_20304765 19_37259427 -1002.37044091822
48 19_20626923 19_37259427 -1002.46404688006
49 19_20633442 19_37259427 -1002.45746811632
50 19_20639961 19_37259427 -1002.38415765528
51 19_20756178 19_37259427 -1002.26636962438
52 19_20775432 19_37259427 -1002.1329203802
53 19_20794687 19_37259427 -1001.94873156453
54 19_20796932 19_37259427 -1001.76340184861
55 19_20798905 19_37259427 -1001.57939745228
56 19_20801032 19_37259427 -1001.39907463784
57 19_20803231 19_37259427 -1001.22456972253
58 19_20805430 19_37259427 -1001.0577114682
59 19_20807629 19_37259427 -1000.89994633108
60 19_20902553 19_37259427 -1001.86706904538
61 19_20998510 19_37259427 -1001.94908444018
62 19_21094467 19_37259427 -1001.81148688053
63 19_21182134 19_37259427 -1001.81682545319
64 19_21270329 19_37259427 -1001.76998312091
65 19_21326896 19_37259427 -1001.66771365302
66 19_21332327 19_37259427 -1001.6252157763
67 19_21336729 19_37259427 -1001.58015335727
68 19_21341131 19_37259427 -1001.53314112237
69 19_21345533 19_37259427 -1001.48483726446
70 19_21349935 19_37259427 -1001.43591616542
71 19_21356079 19_37259427 -1001.30116143264
72 19_21515834 19_37259427 -1001.20833159675
73 19_21518274 19_37259427 -1001.21667034414
74 19_21520713 19_37259427 -1001.374239259
75 19_21523152 19_37259427 -1001.44360266445
76 19_21533417 19_37259427 -1001.50606013302
77 19_21545048 19_37259427 -1001.58726398959
78 19_21727395 19_37259427 -1001.74362366523
79 19_21740049 19_37259427 -1001.95871933208
80 19_21752704 19_37259427 -1002.19033222445
81 19_21835817 19_37259427 -1002.12239458776
82 19_21840919 19_37259427 -1001.77231532317
83 19_21846022 19_37259427 -1001.73356830582
84 19_21936950 19_37259427 -1001.81507720576
85 19_21970456 19_37259427 -1001.94470773293
86 19_22003963 19_37259427 -1002.07471982213
87 19_22156073 19_37259427 -1002.14873632239
88 19_22172322 19_37259427 -1002.18282308039
89 19_22187306 19_37259427 -1002.21927642589
90 19_22191696 19_37259427 -1002.25737693154
91 19_22195207 19_37259427 -1002.29362652239
92 19_22198718 19_37259427 -1002.31949958896
93 19_22202229 19_37259427 -1002.34020739567
94 19_22205740 19_37259427 -1002.35915857506
95 19_22209250 19_37259427 -1002.37630653604
96 19_22212761 19_37259427 -1002.39162275366
97 19_22216272 19_37259427 -1002.4050979064
98 19_22219783 19_37259427 -1002.41674055873
99 19_22223294 19_37259427 -1002.42657703287
100 19_22226805 19_37259427 -1002.43464995731
101 19_22230316 19_37259427 -1002.43195020758
102 19_22233827 19_37259427 -1002.38360831621
103 19_22237338 19_37259427 -1002.37486354815
104 19_22240848 19_37259427 -1002.00098875851
