Var1 Var2 loglik
1 19_28792691 19_28792691 -823.249041413042
2 19_28939708 19_28792691 -823.302747347844
3 19_28966461 19_28792691 -823.137864561671
4 19_28979138 19_28792691 -822.977910594147
5 19_28991815 19_28792691 -822.825349500236
6 19_29004492 19_28792691 -822.810237818257
7 19_29017169 19_28792691 -822.81985460791
8 19_29029846 19_28792691 -820.589694715411
9 19_29089975 19_28792691 -819.097390912576
10 19_29244528 19_28792691 -821.173244894592
11 19_29367672 19_28792691 -820.81431538695
12 19_29395445 19_28792691 -816.347349762919
13 19_29423219 19_28792691 -813.723653577085
14 19_29450992 19_28792691 -813.771475379537
15 19_29551490 19_28792691 -813.80758725403
16 19_29699985 19_28792691 -812.780581838898
17 19_29826905 19_28792691 -812.785719031778
18 19_29868828 19_28792691 -812.789939820392
19 19_29898206 19_28792691 -812.967619660531
20 19_29927583 19_28792691 -813.230471936393
21 19_29939649 19_28792691 -813.514477684624
22 19_29945780 19_28792691 -814.142176458589
23 19_29951911 19_28792691 -815.304503860959
24 19_29958042 19_28792691 -816.287926652526
25 19_30077227 19_28792691 -816.182828209375
26 19_30166670 19_28792691 -816.363141555963
27 19_30172106 19_28792691 -816.485474067881
28 19_30177542 19_28792691 -816.661357407873
29 19_30181155 19_28792691 -816.837681543566
30 19_30181489 19_28792691 -817.126625873409
31 19_30181824 19_28792691 -817.613552199879
32 19_30198765 19_28792691 -818.247108980404
33 19_30223345 19_28792691 -818.301389454188
34 19_30235407 19_28792691 -818.313662339305
35 19_30239974 19_28792691 -818.32183632089
36 19_30244541 19_28792691 -818.330145236108
37 19_30249108 19_28792691 -818.338585591019
38 19_30253675 19_28792691 -818.347197037176
39 19_30258951 19_28792691 -818.355996984893
40 19_30270322 19_28792691 -818.364982604668
41 19_30281692 19_28792691 -818.374143766666
42 19_30322270 19_28792691 -818.383472831935
43 19_30431504 19_28792691 -818.375739964727
44 19_30438286 19_28792691 -818.328874913279
45 19_30445067 19_28792691 -818.319564690845
46 19_30451849 19_28792691 -818.348060497147
47 19_30574351 19_28792691 -818.360298859581
48 19_30671049 19_28792691 -821.80330999151
49 19_30676947 19_28792691 -821.800040572711
50 19_30682620 19_28792691 -822.054197029825
51 19_30688292 19_28792691 -822.592515662579
52 19_30695028 19_28792691 -823.374732760315
53 19_30713997 19_28792691 -823.296630873355
54 19_30732967 19_28792691 -823.617136532068
55 19_30751936 19_28792691 -824.244719429111
56 19_30770905 19_28792691 -824.896881251563
57 19_30789875 19_28792691 -825.608719603036
58 19_30822913 19_28792691 -826.134307090575
59 19_30871283 19_28792691 -826.153447899427
60 19_30875645 19_28792691 -826.172742600904
61 19_30880007 19_28792691 -826.185970435683
62 19_30948074 19_28792691 -826.179308687418
63 19_31046561 19_28792691 -825.906445711748
64 19_31048782 19_28792691 -825.585438043215
65 19_31051002 19_28792691 -825.562722121988
66 19_31053222 19_28792691 -825.860103158568
67 19_31055443 19_28792691 -826.445516566843
68 19_31057663 19_28792691 -827.233011115183
